Date,Open,High,Low,Close
2016/10/13,116.79,117.44,115.72,116.99
2016/10/14,117.88,118.17,117.13,117.63
2016/10/17,117.33,117.84,116.78,117.55
2016/10/18,118.18,118.21,117.45,117.45
2016/10/19,117.25,117.76,113.8,117.12
2016/10/20,116.86,117.38,116.33,117.01
2016/10/21,116.81,116.91,116.28,116.53
2016/10/24,117.1,117.74,117,117.61
2016/10/25,117.96,118.36,117.31,118.26
2016/10/26,114.31,115.7,113.31,115.59
2016/10/27,115.39,115.86,114.1,114.5
2016/10/28,113.86,115.21,113.45,113.72
2016/10/31,113.65,114.23,113.2,113.56
2016/11/01,113.46,113.77,110.53,111.49
2016/11/02,111.4,112.35,111.23,111.6
2016/11/03,110.98,111.46,109.55,109.82
2016/11/04,108.53,110.25,108.11,108.84
2016/11/07,110.1,110.51,109.46,110.41
2016/11/08,110.31,111.72,109.7,111.06
2016/11/09,109.88,111.32,108.05,110.88
2016/11/10,111.08,111.09,105.83,107.79
2016/11/11,107.12,108.87,106.55,108.42
2016/11/14,107.71,107.809,104.08,105.7
2016/11/15,106.57,107.68,106.1593,107.11
2016/11/16,106.7,110.23,105.15,110.01
2016/11/17,109.82,110.35,108.83,109.94
2016/11/18,109.72,110.54,109.66,110.06
2016/11/21,110.12,111.99,110.01,111.73
2016/11/22,111.95,112.42,111.4,111.77
2016/11/23,111.36,111.51,110.33,111.225
2016/11/25,111.13,111.87,110.95,111.78
2016/11/28,111.43,112.465,111.39,111.58
2016/11/29,110.78,112.03,110.07,111.46
2016/11/30,111.61,112.2,110.27,110.52
2016/12/01,110.39,110.94,109.03,109.47
2016/12/02,109.17,110.09,108.85,109.89
2016/12/05,110,110.03,108.25,109.1
2016/12/06,109.5,110.36,109.19,109.94
2016/12/07,109.26,111.19,109.16,111.01
2016/12/08,110.86,112.43,110.6,112.11
2016/12/09,112.31,114.7,112.31,113.96
2016/12/12,113.29,115,112.49,113.29
2016/12/13,113.84,115.92,113.75,115.19
2016/12/14,115.04,116.2,114.98,115.2
2016/12/15,115.38,116.73,115.23,115.82
2016/12/16,116.47,116.5,115.645,115.9725
2016/12/19,115.8,117.38,115.75,116.63
2016/12/20,116.74,117.5,116.68,116.95
2016/12/21,116.8,117.4,116.78,117.06
2016/12/22,116.35,116.51,115.64,116.29
2016/12/23,115.59,116.52,115.59,116.51
2016/12/27,116.52,117.8,116.49,117.25
2016/12/28,117.52,118.0166,116.2,116.75
2016/12/29,116.45,117.1095,116.4,116.73
2016/12/30,116.65,117.2,115.43,115.84
2017/01/03,115.8,116.33,114.76,116.14
2017/01/04,115.85,116.51,115.75,116.02
2017/01/05,115.92,116.8642,115.81,116.61
2017/01/06,116.78,118.16,116.47,117.91
2017/01/09,117.95,119.43,117.94,119
2017/01/10,118.77,119.38,118.3,119.11
2017/01/11,118.74,119.93,118.6,119.73
2017/01/12,118.895,119.3,118.21,119.25
2017/01/13,119.11,119.62,118.81,119.03
2017/01/17,118.34,120.24,118.22,119.99
2017/01/18,120,120.5,119.71,119.97
2017/01/19,119.4,120.09,119.37,119.77
2017/01/20,120.45,120.45,119.7346,119.99
2017/01/23,120,120.81,119.77,120.09
2017/01/24,119.55,120.1,119.5,119.97
2017/01/25,120.42,122.1,120.28,121.9
2017/01/26,121.67,122.44,121.6,121.94
2017/01/27,122.14,122.35,121.6,121.72
2017/01/30,120.93,121.62,120.66,121.56
2017/01/31,121.15,121.39,120.62,121.3
2017/02/01,127.03,130.49,127.01,128.75
2017/02/02,127.975,129.39,127.78,128.51
2017/02/03,128.31,129.19,128.16,129.07
2017/02/06,129.13,130.5,128.92,130.29
2017/02/07,130.54,132.09,130.45,131.51
2017/02/08,131.35,132.22,131.22,132.04
2017/02/09,131.66,132.445,131.12,132.41
2017/02/10,132.46,132.94,132.06,132.12
2017/02/13,133.08,133.82,132.75,133.29
2017/02/14,133.43,135.09,133.25,135.01
2017/02/15,135.52,136.27,134.62,135.51
2017/02/16,135.67,135.9,134.8398,135.345
2017/02/17,135.1,135.79,135.1,135.71
2017/02/21,136.24,136.75,135.98,136.69
2017/02/22,136.46,137.12,136.11,137.1
2017/02/23,137.38,137.48,136.3,136.53
2017/02/24,135.91,136.65,135.28,136.64
2017/02/27,137.04,137.435,136.28,136.94
2017/02/28,137.08,137.435,136.7,136.99
2017/03/01,137.89,140.15,137.595,139.79
2017/03/02,140,140.2786,138.76,138.93
2017/03/03,138.78,139.83,138.59,139.77
2017/03/06,139.365,139.77,138.5959,139.32
2017/03/07,139.06,139.98,138.79,139.49
2017/03/08,138.95,139.8,138.82,139.01
2017/03/09,138.74,138.79,137.05,138.68
2017/03/10,139.25,139.3571,138.64,139.15
2017/03/13,138.85,139.43,138.82,139.19
2017/03/14,139.3,139.65,138.84,138.98
2017/03/15,139.41,140.7501,139.025,140.45
2017/03/16,140.72,141.02,140.26,140.69
2017/03/17,141,141,139.89,139.91
2017/03/20,140.4,141.5,140.23,141.49
2017/03/21,142.11,142.8,139.73,139.85
2017/03/22,139.845,141.6,139.76,141.43
2017/03/23,141.26,141.5844,140.61,140.92
2017/03/24,141.39,141.74,140.35,140.63
2017/03/27,139.39,141.22,138.62,140.88
2017/03/28,140.91,144.04,140.62,143.81
2017/03/29,143.68,144.49,143.19,144.16
2017/03/30,144.19,144.5,143.5,143.92
2017/03/31,143.72,144.27,143.01,143.67
2017/04/03,143.71,144.12,143.05,143.7
2017/04/04,143.25,144.89,143.17,144.76
2017/04/05,144.22,145.46,143.81,144.02
2017/04/06,144.29,144.52,143.45,143.67
2017/04/07,143.73,144.18,143.27,143.34
2017/04/10,143.6,143.8792,142.9,143.16
2017/04/11,142.94,143.35,140.06,141.62
2017/04/12,141.6,142.15,141.01,141.79
2017/04/13,141.91,142.38,141.05,141.07
2017/04/17,141.18,141.87,140.87,141.83
2017/04/18,141.41,142.04,141.11,141.22
2017/04/19,141.88,142,140.45,140.66
2017/04/20,141.22,142.92,141.16,142.44
2017/04/21,142.44,142.68,141.85,142.27
2017/04/24,143.5,143.95,143.18,143.63
2017/04/25,143.97,144.9,143.87,144.53
2017/04/26,144.49,144.6,143.3762,143.66
2017/04/27,143.91,144.16,143.31,143.79
2017/04/28,144.09,144.3,143.27,143.64
2017/05/01,145.1,147.2,144.96,146.56
2017/05/02,147.54,148.09,146.84,147.47
2017/05/03,145.59,147.49,144.27,147.06
2017/05/04,146.55,147.14,145.81,146.54
2017/05/05,146.76,148.98,146.76,148.96
2017/05/08,149.03,153.7,149.03,153.01
2017/05/09,153.87,154.88,153.45,153.98
2017/05/10,153.63,153.94,152.11,153.26
2017/05/11,152.45,154.07,152.31,153.94
2017/05/12,154.7,156.42,154.67,156.1
2017/05/15,156.01,156.65,155.05,155.68
2017/05/16,155.94,156.06,154.72,155.47
2017/05/17,153.6,154.57,149.71,150.2
2017/05/18,151.27,153.34,151.13,152.51
2017/05/19,153.38,153.98,152.63,153.05
2017/05/22,154,154.58,152.91,153.96
2017/05/23,154.9,154.9,153.31,153.8
2017/05/24,153.84,154.17,152.67,153.3
2017/05/25,153.73,154.35,153.03,153.91
2017/05/26,153.81,154.24,153.31,153.59
2017/05/30,153.42,154.43,153.33,153.67
2017/05/31,153.97,154.17,152.38,152.77
2017/06/01,153.17,153.33,152.22,153.18
2017/06/02,153.59,155.45,152.89,155.45
2017/06/05,154.34,154.45,153.46,153.93
2017/06/06,153.9,155.81,153.78,154.45
2017/06/07,155.01,155.98,154.48,155.37
2017/06/08,155.25,155.54,154.4,154.92
2017/06/09,155.19,155.19,146.02,148.97
2017/06/12,145.6,146.09,142.51,145.4
2017/06/13,147.16,147.45,145.15,146.59
2017/06/14,147.5,147.5,143.84,145.16
2017/06/15,143.32,144.4798,142.21,144.3
2017/06/16,143.81,144.5,142.2,142.25
2017/06/19,143.66,146.74,143.66,146.34
2017/06/20,146.87,146.87,144.94,145.01
2017/06/21,145.52,146.0693,144.61,145.87
2017/06/22,145.75,146.7,145.1199,145.63
2017/06/23,145.13,147.16,145.11,146.29
2017/06/26,147.17,148.28,145.38,145.8
2017/06/27,145.01,146.16,143.62,143.78
2017/06/28,144.49,146.11,143.1601,145.83
2017/06/29,144.71,145.13,142.28,143.67
2017/06/30,144.45,144.96,143.78,144.03
2017/07/03,144.88,145.3001,143.1,143.5
2017/07/05,143.69,144.79,142.7237,144.09
2017/07/06,143.02,143.5,142.41,142.72
2017/07/07,142.9,144.75,142.9,144.17
2017/07/10,144.11,145.95,143.37,145.09
2017/07/11,144.73,145.85,144.38,145.55
2017/07/12,145.87,146.18,144.82,145.77
2017/07/13,145.5,148.49,145.44,147.78
2017/07/14,147.97,149.33,147.33,149.04
2017/07/17,148.82,150.9,148.57,149.6
2017/07/18,149.2,150.13,148.67,150.08
2017/07/19,150.48,151.42,149.95,151.02
2017/07/20,151.5,151.74,150.19,150.35
2017/07/21,149.99,150.44,148.88,150.3
2017/07/24,150.58,152.44,149.9,152.11
2017/07/25,151.8,153.84,151.8,152.75
2017/07/26,153.35,153.93,153.06,153.5
2017/07/27,153.78,153.99,147.3,150.55
2017/07/28,149.94,150.23,149.19,149.49
2017/07/31,149.9,150.33,148.13,148.77
2017/08/01,149.1,150.22,148.41,150.05
2017/08/02,159.28,159.75,156.16,157.15
2017/08/03,157.05,157.21,155.02,155.51
2017/08/04,156.07,157.4,155.69,156.34
2017/08/07,157.06,158.92,156.6701,158.79
2017/08/08,158.61,161.83,158.27,160.1
2017/08/09,159.26,161.27,159.11,161.1
2017/08/10,159.9,160,154.63,155.32
2017/08/11,156.6,158.5728,156.07,157.49
2017/08/14,159.32,160.21,158.75,159.78
2017/08/15,160.66,162.195,160.14,161.64
2017/08/16,161.98,162.51,160.15,160.92
2017/08/17,160.52,160.71,157.84,157.86
2017/08/18,157.86,159.5,156.72,157.51
2017/08/21,157.5,157.89,155.1101,157.16
2017/08/22,158.23,160,158.02,159.78
2017/08/23,159.07,160.47,158.88,159.99
2017/08/24,160.43,160.74,158.55,159.31
2017/08/25,159.65,160.56,159.27,159.86
2017/08/28,160.14,162,159.93,161.47
2017/08/29,160.1,163.12,160,162.92
2017/08/30,163.8,163.89,162.61,163.33
