Date,Open,High,Low,Close
2019-08-05,9.18,9.27,9.06,9.23
2019-08-06,9.42,9.51,9.36,9.48
2019-08-07,9.43,9.56,9.3201,9.53
2019-08-08,9.56,9.62,9.505,9.565
2019-08-09,9.54,9.58,9.39,9.45
2019-08-12,9.39,9.43,9.28,9.29
2019-08-13,9.29,9.42,9.18,9.27
2019-08-14,9.13,9.15,8.96,9
2019-08-15,9.06,9.06,8.78,8.87
2019-08-16,8.92,9,8.81,8.97
2019-08-19,9.05,9.1,9.02,9.04
2019-08-20,9,9.07,8.93,8.95
2019-08-21,9.02,9.05,8.97,9.04
2019-08-22,9.05,9.14,9.02,9.04
2019-08-23,8.9,8.99,8.73,8.77
2019-08-26,8.88,8.907,8.79,8.82
2019-08-27,8.89,8.91,8.75,8.765
2019-08-28,8.72,9.04,8.7,8.99
2019-08-29,9.1,9.14,9.03,9.12
2019-08-30,9.16,9.23,9.1,9.16
2019-09-03,9.18,9.2,9.04,9.095
2019-09-04,9.17,9.23,9.07,9.2
2019-09-05,9.25,9.4,9.25,9.35
2019-09-06,9.37,9.41,9.2,9.34
2019-09-09,9.39,9.65,9.39,9.54
2019-09-10,9.08,9.42,9.04,9.41
2019-09-11,9.29,9.43,9.29,9.41
2019-09-12,9.36,9.48,9.33,9.41
2019-09-13,9.47,9.59,9.44,9.46
2019-09-16,9.36,9.45,9.24,9.3
2019-09-17,9.27,9.31,9.18,9.29
2019-09-18,9.26,9.36,9.22,9.25
2019-09-19,9.31,9.3299,9.1,9.1
2019-09-20,9.13,9.3,9.11,9.17
2019-09-23,9.13,9.23,9.08,9.16
2019-09-24,9.19,9.225,9.05,9.11
2019-09-25,9.1,9.23,9.09,9.19
2019-09-26,9.23,9.23,9.07,9.14
2019-09-27,9.14,9.6,9.06,9.08
2019-09-30,9.11,9.21,9.1,9.17
2019-10-01,9.19,9.24,8.87,8.905
2019-10-02,8.85,8.86,8.44,8.61
2019-10-03,8.55,8.71,8.45,8.71
2019-10-04,8.72,8.76,8.66,8.735
2019-10-07,8.7,8.79,8.61,8.68
2019-10-08,8.65,8.66,8.5,8.545
2019-10-09,8.61,8.64,8.56,8.57
2019-10-10,8.58,8.65,8.52,8.625
2019-10-11,8.73,8.87,8.73,8.78
2019-10-14,8.82,8.84,8.755,8.82
2019-10-15,8.84,9.0999,8.78,9.075
2019-10-16,9.11,9.19,9.06,9.07
2019-10-17,9.12,9.14,9.03,9.11
2019-10-18,9.09,9.32,9.09,9.2957
2019-10-21,9.19,9.245,9.01,9.03
2019-10-22,9.01,9.14,8.96,9.06
2019-10-23,9.01,9.21,8.97,9.21
2019-10-24,8.87,8.89,8.55,8.6
2019-10-25,8.67,8.75,8.62,8.72
2019-10-28,8.76,8.76,8.58,8.61
2019-10-29,8.59,8.71,8.59,8.64
2019-10-30,8.64,8.64,8.52,8.53
2019-10-31,8.5281,8.6,8.52,8.59
2019-11-01,8.64,8.93,8.64,8.89
2019-11-04,8.93,9.05,8.93,9
2019-11-05,9.02,9.15,9,9.02
2019-11-06,9.05,9.05,8.89,8.92
2019-11-07,8.96,9.01,8.88,8.9
2019-11-08,8.9,9.04,8.82,9.04
2019-11-11,8.95,9.1,8.94,9.08
2019-11-12,9.06,9.13,9.04,9.05
2019-11-13,9,9,8.8,8.815
2019-11-14,8.85,8.9059,8.78,8.79
2019-11-15,8.85,8.96,8.85,8.96
2019-11-18,9.05,9.05,8.89,8.95
2019-11-19,8.99,9,8.87,8.91
2019-11-20,8.88,8.89,8.68,8.73
2019-11-21,8.77,8.79,8.67,8.71
2019-11-22,8.8,8.9,8.77,8.89
2019-11-25,8.9,9.01,8.87,9
2019-11-26,8.98,9.02,8.91,9
2019-11-27,9.03,9.15,9.02,9.095
2019-11-29,9.04,9.1,9.03,9.07
2019-12-02,9.08,9.14,9,9.01
2019-12-03,8.95,8.95,8.8,8.9
2019-12-04,8.95,9.03,8.94,8.95
2019-12-05,8.97,9,8.88,8.921
2019-12-06,8.96,9.07,8.945,9.01
2019-12-09,8.97,9.07,8.96,9.005
2019-12-10,9.02,9.1,8.96,9.06
2019-12-11,9.06,9.14,9.055,9.11
2019-12-12,9.11,9.36,9.105,9.32
2019-12-13,9.32,9.39,9.19,9.23
2019-12-16,9.24,9.39,9.22,9.39
2019-12-17,9.38,9.41,9.31,9.39
2019-12-18,9.39,9.575,9.36,9.55
2019-12-19,9.55,9.57,9.38,9.4027
2019-12-20,9.5,9.54,9.44,9.48
2019-12-23,9.5,9.57,9.4,9.435
2019-12-24,9.44,9.49,9.43,9.48
2019-12-26,9.47,9.49,9.43,9.45
2019-12-27,9.45,9.46,9.345,9.36
2019-12-30,9.34,9.35,9.23,9.255
2019-12-31,9.25,9.33,9.24,9.29
2020-01-02,9.29,9.42,9.19,9.42
2020-01-03,9.31,9.37,9.15,9.21
2020-01-06,9.1,9.17,9.06,9.15
2020-01-07,9.2,9.25,9.12,9.25
2020-01-08,9.23,9.3,9.17,9.25
2020-01-09,9.3,9.31,9.18,9.275
2020-01-10,9.27,9.36,9.25,9.25
2020-01-13,9.25,9.26,9.11,9.24
2020-01-14,9.22,9.33,9.21,9.29
2020-01-15,9.27,9.3,9.18,9.2
2020-01-16,9.23,9.28,9.15,9.18
2020-01-17,9.19,9.23,9.13,9.15
2020-01-21,9.15,9.22,9.1,9.21
2020-01-22,9.22,9.25,9.15,9.16
2020-01-23,9.14,9.16,8.93,9.14
2020-01-24,9.11,9.12,8.96,9
2020-01-27,8.88,8.96,8.78,8.89
2020-01-28,8.94,9,8.86,8.98
2020-01-29,8.85,8.955,8.84,8.855
2020-01-30,8.81,8.84,8.73,8.84
2020-01-31,8.78,8.84,8.74,8.81
2020-02-03,8.85,9.14,8.85,8.97
2020-02-04,9.08,9.24,9.07,9.1711
2020-02-05,8.41,8.48,8.27,8.31
2020-02-06,8.37,8.38,8.25,8.255
2020-02-07,8.21,8.21,8.02,8.11
2020-02-10,8.15,8.15,8.05,8.06
2020-02-11,8.1,8.15,8.08,8.1
2020-02-12,8.14,8.33,8.13,8.25
2020-02-13,8.21,8.36,8.21,8.26
2020-02-14,8.27,8.27,8.08,8.1
2020-02-18,8.12,8.1499,8.02,8.05
2020-02-19,8.06,8.1,8,8
2020-02-20,8,8.07,7.99,8.02
2020-02-21,8.02,8.03,7.89,7.89
2020-02-24,7.7,7.7197,7.55,7.57
2020-02-25,7.68,7.68,7.22,7.23
2020-02-26,7.3,7.46,7.21,7.21
2020-02-27,7.13,7.28,6.92,6.97
2020-02-28,6.84,6.96,6.67,6.96
2020-03-02,7.11,7.23,6.88,7.2
2020-03-03,7.29,7.34,6.89,6.96
2020-03-04,7.09,7.09,6.92,7.08
