Date,Open,High,Low,Close
2019-08-12,17.06,17.9,15.77,16.04
2019-08-13,15.81,16.48,15.71,15.95
2019-08-14,16.43,16.44,14.5,14.85
2019-08-15,14.98,15.83,14.12,15.78
2019-08-16,16.21,17.49,15.8,16.4
2019-08-19,16.63,17.793,16.53,17.4
2019-08-20,17.52,20.01,17.52,19.78
2019-08-21,20.24,21.94,20.12,21.04
2019-08-22,21.41,24.82,19.55,24.53
2019-08-23,25.21,27.98,24,24.88
2019-08-26,26.86,27.78,25.33,27.53
2019-08-27,28.04,29.97,27.77,29.63
2019-08-28,29.19,31.92,27.45,31.92
2019-08-29,33.15,34.88,27.57,27.93
2019-08-30,29.19,31.85,28.5,31.5
2019-09-03,31,31.54,28.8,31.01
2019-09-04,31.51,33.8,31.42,32.47
2019-09-05,33.99,35.2482,32.7738,33.805
2019-09-06,34.2,34.45,31.01,31.43
2019-09-09,31.62,32.0846,26.5,27.15
2019-09-10,26.29,30.05,25.31,28.5965
2019-09-11,29,33.8,28.64,32.3
2019-09-12,33,33.18,29.88,30.19
2019-09-13,30.78,30.89,27.15,29.03
2019-09-16,28.31,29.0497,27.5,27.95
2019-09-17,28.25,29.33,27.5627,28.1
2019-09-18,27.92,28.63,27.06,28.56
2019-09-19,28.35,28.67,26.38,26.68
2019-09-20,26.95,27.5,25.09,25.14
2019-09-23,25.4,27.89,25.07,27.36
2019-09-24,27.86,27.86,26.5477,26.66
2019-09-25,26.38,27,25.935,26.58
2019-09-26,26.25,26.306,24.27,24.3927
2019-09-27,24.5,25.14,20.69,21.61
2019-09-30,21.66,24.37,21.29,23.94
2019-10-01,24.06,24.16,22.02,23.55
2019-10-02,22.63,23.1,21.75,22.65
2019-10-03,22.5,24,21.59,23.35
2019-10-04,23.22,24.24,22.78,23.37
2019-10-07,22.98,25.14,22.88,25.09
2019-10-08,24.53,27.07,24.2406,26.09
2019-10-09,26.62,26.62,25.43,25.97
2019-10-10,25.5,26.75,24.58,24.93
2019-10-11,24.75,24.98,23.6,24.08
2019-10-14,23.32,23.4963,22.31,23.04
2019-10-15,23.08,23.88,22.75,23.32
