Date,Open,High,Low,Close
2020-01-03,3.1,3.25,2.95,2.98
2020-01-06,3.02,3.16,2.95,3.13
2020-01-07,3.16,3.19,3.04,3.14
2020-01-08,3.11,3.16,3.065,3.14
2020-01-09,3.15,3.18,3.04,3.11
2020-01-10,3.18,3.18,3.04,3.1
2020-01-13,3.14,3.4499,3.07,3.31
2020-01-14,3.26,3.44,3.26,3.29
2020-01-15,3.3,3.43,3.23,3.36
2020-01-16,3.4,3.425,3.32,3.4
2020-01-17,3.44,3.44,3.23,3.3
2020-01-21,3.52,3.75,3.39,3.56
2020-01-22,3.55,3.56,3.33,3.44
2020-01-23,3.885,4.1,3.61,3.83
2020-01-24,4.49,4.7,4.12,4.25
2020-01-27,5.6,5.95,5.1,5.316
2020-01-28,5.67,5.68,4.28,4.3534
2020-01-29,4.49,4.55,3.92,4.1004
2020-01-30,4.86,4.88,4.5,4.66
2020-01-31,4.8,4.81,4.3,4.5215
2020-02-03,4.34,4.47,3.71,3.91
2020-02-04,3.74,3.9,3.33,3.705
2020-02-05,3.5,3.71,3.4,3.555
2020-02-06,3.55,3.5598,3.25,3.37
2020-02-07,3.36,3.39,3.14,3.1999
2020-02-10,3.33,3.92,3.25,3.475
2020-02-11,3.42,3.45,3.26,3.39
2020-02-12,3.4,3.48,3.29,3.34
2020-02-13,3.72,4.05,3.6,3.8587
2020-02-14,4.39,4.5,4.07,4.1599
2020-02-18,4.45,4.55,4.16,4.22
2020-02-19,4.21,4.29,3.61,3.81
2020-02-20,3.76,3.79,3.57,3.64
2020-02-21,3.73,3.88,3.57,3.75
2020-02-24,4.1,4.2,3.83,3.955
2020-02-25,4.02,4.0676,3.6,3.73
2020-02-26,3.8,4.04,3.73,3.965
2020-02-27,4.44,5,4.1,4.36
2020-02-28,4.79,4.89,3.9299,4.33
2020-03-02,4.4,4.5,3.83,4.385
2020-03-03,5.12,7.48,4.84,7.45
2020-03-04,8.44,9.4,7.34,8.03
2020-03-05,8.03,10.1,7.515,9.78
2020-03-06,10.81,16,10.68,13.775
2020-03-09,18.9,19.36,8.53,9.8278
2020-03-10,9.4,10.88,5.5,5.68
2020-03-11,6.85,8.6,6.34,8.36
2020-03-12,10.95,11.93,8.52,9.4119
2020-03-13,7.96,8.63,6.6,6.84
2020-03-16,6.06,6.4746,5.13,6.11
2020-03-17,6.82,7.85,6.5,7.24
2020-03-18,6.92,7.62,6.6,7.41
2020-03-19,7.39,7.43,6.1,6.46
2020-03-20,7.05,7.68,6.5,7.171
2020-03-23,7.39,7.44,6.53,6.69
2020-03-24,7.31,7.4,6.71,7.09
2020-03-25,6.93,6.95,6.57,6.68
2020-03-26,6.72,7.39,6.63,7.11
2020-03-27,7.27,8.42,7.21,8.32
2020-03-30,9.18,9.32,7.6,7.982
2020-03-31,7.94,8.0478,7.25,7.4176
2020-04-01,7.32,8.09,7.09,7.69
2020-04-02,7.63,7.65,7.1,7.5
2020-04-03,7.31,7.9407,7.2401,7.73
2020-04-06,8.48,8.68,7.82,8.3701
2020-04-07,8.75,9.2027,7.93,8.28
2020-04-08,8.33,8.53,8.13,8.2901
2020-04-09,8.4,8.5,8.01,8.1
2020-04-13,8.08,8.14,7.53,7.78
2020-04-14,7.84,7.86,7.37,7.4414
2020-04-15,7.22,7.3299,6.88,7.13
2020-04-16,7.61,7.89,7.36,7.8699
2020-04-17,8,8.39,7.54,8.24
2020-04-20,8.14,9.855,8.1,9.0258
2020-04-21,9.52,10.4,8.61,9.885
2020-04-22,10.58,11.9,10.32,11.7
2020-04-23,13.18,13.63,11.52,12.01
2020-04-24,12.6,15.08,12,14.5642
2020-04-27,15.785,16.5,12.76,13.68
2020-04-28,14.37,14.3881,12.6,13.725
2020-04-29,13.98,14.24,13.02,13.7
2020-04-30,13.2,13.42,11.6,12.02
2020-05-01,11,11.75,9.53,10.25
2020-05-04,10.12,11.34,9.71,11.26
2020-05-05,11.35,11.59,10.33,10.6
2020-05-06,10.3859,10.64,9.86,10.4463
2020-05-07,10.42,10.98,10.15,10.65
2020-05-08,10.45,10.97,10.285,10.8599
2020-05-11,11.215,12.05,11.03,11.94
2020-05-12,11.69,13.5,11.61,12.89
2020-05-13,13.42,13.85,11.81,13.34
2020-05-14,13.68,14.09,12.785,13.64
2020-05-15,13.17,13.85,12.91,13.425
2020-05-18,13.69,14.57,13.5,14.1567
2020-05-19,14.13,15.12,13.67,14.55
2020-05-20,16.59,16.92,15,15.775
2020-05-21,15.54,15.5939,13.9,14.22
2020-05-22,14.245,14.59,13.22,14.055
2020-05-26,14.21,15.07,14.149,14.42
2020-05-27,14,14.05,12.28,13.19
2020-05-28,12.77,13.95,12.75,13.34
2020-05-29,13.55,14.92,13.33,14.68
2020-06-01,14.78,15.25,14.25,14.89
2020-06-02,14.52,14.55,13.75,14.37
2020-06-03,13.9,14.32,12.1,12.47
2020-06-04,12.445,12.885,11.73,11.8781
2020-06-05,12.11,12.3199,11.26,11.98
2020-06-08,11.85,12.1,11.13,12.055
2020-06-09,12,13.2,11.9,12.775
2020-06-10,13.1,13.63,12.95,13.36
2020-06-11,12.92,13.35,12.02,12.175
2020-06-12,12.61,13,12.55,12.755
2020-06-15,13.15,14.185,13.15,14.1101
2020-06-16,14.23,14.29,13.26,13.92
2020-06-17,13.6935,14.19,13.47,13.7949
2020-06-18,13.67,14.5,13.61,14.3307
2020-06-19,14.43,14.74,14.11,14.26
