Date,Open,High,Low,Close,Volume
2018-10-24,273.33,273.76,264.7,265.22,130172487
2018-10-25,267.37,271.81,266.23,270.14,97215770
2018-10-26,265.92,271,262.29,265.29,161147868
2018-10-29,268.78,270.25,259.85,263.8,120705901
2018-10-30,263.67,268.12,263.12,267.81,122643325
2018-10-31,270.65,273.23,270.12,270.69,97427146
2018-11-01,271.62,273.73,270.38,273.51,72100016
2018-11-02,274.74,275.23,269.59,271.8,93545041
2018-11-05,272.44,274.01,271.35,273.38,55157537
2018-11-06,273.32,275.3,273.25,275.12,49731823
2018-11-07,277.56,281.1,275.1398,280.91,84960994
2018-11-08,280.14,281.22,279.22,280.44,49392193
2018-11-09,279.03,279.24,276.18,277.83,70577729
2018-11-12,277.15,277.46,271.99,272.49,78678065
2018-11-13,273.09,275.325,271.25,272.06,78846402
2018-11-14,274.16,274.61,268.4499,270.13,113944238
2018-11-15,268.78,273.54,267.0102,273.07,118131123
2018-11-16,271.79,276,271.21,273.68,107341090
2018-11-19,273.05,273.6176,266.748,269.08,86509084
2018-11-20,265.36,269.1,263.15,264.18,121173305
2018-11-21,265.86,267.15,264.2527,265.08,64743156
2018-11-23,263.18,265.0662,263.07,263.34,36245484
2018-11-26,265.78,268.2909,263.3652,267.46,67385154
2018-11-27,266.34,268.37,265.66,268.34,65180166
2018-11-28,269.6,275.1,268.3272,274.5,111668695
2018-11-29,273.71,275.55,272.43,273.93,69394238
2018-11-30,273.81,279.11,273.45,275.78,80116769
2018-12-03,280.28,280.4,277.505,279.25,86242190
2018-12-04,278.37,279.2317,269.9,270.3,153458262
2018-12-06,265.92,270.3161,262.44,269.95,181383076
2018-12-07,269.46,271.22,262.63,263.64,140570663
2018-12-10,263.37,265.1613,258.62,264.07,143799899
2018-12-11,267.66,267.87,262.48,264.1,110983363
2018-12-12,267.47,269,264.0644,265.53,84864550
2018-12-13,266.52,267.49,264.12,265.41,85184961
2018-12-14,262.96,265.5126,259.85,260.5,102862203
2018-12-17,259.4,260.68,253.525,255.1,144021435
2018-12-18,257.2,257.95,253.28,255.12,119045611
2018-12-19,255.17,259.4,249.35,251.19,195780833
2018-12-20,249.86,251.62,244.65,247.25,221564223
2018-12-21,246.74,249.71,239.98,240.73,210693307
2018-12-24,239.04,240.8355,234.31,234.41,127577312
2018-12-26,235.97,246,233.76,245.96,191221925
2018-12-27,242.57,248.01,238.96,248.01,159105665
2018-12-28,249.58,251.4,246.45,247.6899,132250127
2018-12-31,249.56,250.16,247.47,248.55,100767777
2019-01-02,245.98,251.21,245.95,249.89,107236613
2019-01-03,248.23,248.57,244.03,244.46,113782919
2019-01-04,247.59,253.11,247.17,252.41,122528832
2019-01-07,252.69,255.95,251.69,254.4,88317608
2019-01-08,256.82,257.31,254,256.65,88864452
2019-01-09,257.56,258.91,241.4,257.71,77555720
2019-01-10,256.26,259.16,255.5,258.94,85909797
2019-01-11,257.68,259.0098,257.03,258.76,60544770
2019-01-14,256.86,258.3,256.41,257.69,51552561
2019-01-15,257.82,260.7,257.25,260.21,72130969
2019-01-16,260.83,261.9666,260.6,260.94,59299089
2019-01-17,260.01,263.92,259.96,262.88,79893207
2019-01-18,264.98,266.98,262.998,266.16,99666883
2019-01-22,264.82,265.06,261.06,261.97,88775864
2019-01-23,264.01,264.79,260.66,263.1,74195206
2019-01-24,263.21,264.2,262.08,263.69,48407752
2019-01-25,265.61,266.7,263.6595,265.7,78094541
2019-01-28,263.39,263.82,261.79,263.635,75207990
2019-01-29,263.92,264.55,262.48,263.31,54249161
2019-01-30,265.1,268.52,264.25,267.4625,75091893
2019-01-31,267.51,270.47,267.27,270.2325,73699733
2019-02-01,270.15,271.2,269.18,270.07,68194167
2019-02-04,270.11,271.8,269.36,271.78,46985797
2019-02-05,272.44,273.44,271.88,273.13,61540042
2019-02-06,272.79,273.34,271.92,272.7,43446324
2019-02-07,270.94,271.55,268.29,269.97,83380785
2019-02-08,268.75,270.2874,267.83,270.08,63409417
2019-02-11,271.2,271.49,270.03,270.64,57175393
2019-02-12,272.42,274.52,272.34,274.075,60116740
2019-02-13,275.03,275.93,274.56,274.98,54446766
2019-02-14,273.78,275.64,266.75,274.535,72729366
2019-02-15,276.36,277.34,276.13,277.27,74792740
2019-02-19,276.4813,278.58,276.47,277.78,49878739
2019-02-20,277.81,278.92,277.25,278.43,66580035
2019-02-21,277.7,278.1,276.345,277.46,54366314
2019-02-22,278.11,279.36,277.4029,279.15,66916124
2019-02-25,280.73,281.31,279.43,279.57,62598105
2019-02-26,279.13,280.3,278.9,279.34,51038945
2019-02-27,278.52,279.59,277.48,279.23,49597990
2019-02-28,278.96,279.45,278.32,278.54,52938984
2019-03-01,280.44,280.88,278.82,280.49,64119601
2019-03-04,281.6,281.87,276.84,279.41,89783576
2019-03-05,279.54,279.76,278.41,279.05,48652076
2019-03-06,279.15,279.16,276.97,277.29,61873702
2019-03-07,276.83,276.99,274.07,275.08,85418006
