Date,Open,High,Low,Close
2019/08/05,22.61,24.34,22.45,24.11
2019/08/06,23.2,24.39,22.6,22.62
2019/08/07,24.22,24.74,22.61,22.71
2019/08/08,22.24,22.54,21.28,21.36
2019/08/09,21.75,22.59,21.53,22.15
2019/08/12,22.55,23.84,22.4201,23.76
2019/08/13,24.11,24.17,21.99,22
2019/08/14,23.53,25.09,23.08,25.06
2019/08/15,24.4,25.5,24.18,24.46
2019/08/16,24,24,23,23.08
2019/08/19,22.05,22.2,21.3,21.37
2019/08/20,21.51,22.04,21.39,21.88
2019/08/21,20.98,21.16,20.76,20.81
2019/08/22,20.69,21.74,20.61,21.15
2019/08/23,21.83,24.23,20.94,23.78
2019/08/26,22.62,23.81,22.62,23.13
2019/08/27,22.72,24.1621,22.65,23.56
2019/08/28,24.11,24.47,23.02,23.03
2019/08/29,22.36,22.56,21.85,22.08
2019/08/30,21.69,22.72,21.65,22.17
2019/09/03,22.99,23.4,22.64,23.25
2019/09/04,22.27,22.67,21.73,21.76
2019/09/05,21.2,21.2533,20.68,20.93
2019/09/06,20.65,20.81,20.237,20.33
2019/09/09,19.95,20.67,19.92,20.15
2019/09/10,20.43,20.71,20.02,20.11
2019/09/11,20.08,20.12,19.62,19.74
2019/09/12,19.38,19.65,19.06,19.24
2019/09/13,19.05,19.1798,18.78,18.97
2019/09/16,19.34,19.4601,18.93,19.25
2019/09/17,19.37,19.51,19.15,19.16
2019/09/18,19.02,19.48,18.51,18.52
2019/09/19,18.35,18.35,17.93,18.21
2019/09/20,18.03,19.3,17.9568,19.12
2019/09/23,19.17,19.25,18.671,18.99
2019/09/24,18.49,20,18.45,19.83
2019/09/25,19.89,20.54,19.24,19.41
2019/09/26,19.39,19.95,19.36,19.57
2019/09/27,19.33,20.64,19.23,20.08
2019/09/30,19.9,19.92,19.305,19.54
2019/10/01,19.09,20.4,18.96,20.38
2019/10/02,20.99,22.0014,20.95,21.77
2019/10/03,21.68,22.3,20.93,20.94
2019/10/04,20.77,20.77,19.76,19.79
2019/10/07,20.15,20.29,19.545,20.04
2019/10/08,20.72,21.6,20.5032,21.6
2019/10/09,20.92,21.23,20.3799,20.8
2019/10/10,20.79,20.88,20.025,20.13
2019/10/11,19.47,19.58,18.6159,18.94
2019/10/14,18.91,18.92,18.28,18.34
2019/10/15,18,18,17.56,17.81
2019/10/16,17.78,17.98,17.577,17.59
2019/10/17,17.38,17.61,17.24,17.51
2019/10/18,17.59,17.89,17.31,17.48
2019/10/21,17.27,17.33,17,17.01
2019/10/22,16.91,17.29,16.798,17.2633
2019/10/23,17.42,17.42,17.05,17.06
2019/10/24,16.91,17.22,16.8,16.82
2019/10/25,16.93,16.93,16.26,16.26
2019/10/28,16.2,16.48,16.16,16.42
2019/10/29,16.6,16.67,16.31,16.42
2019/10/30,16.41,16.81,15.99,16.01
2019/10/31,16.41,16.6,16.23,16.25
2019/11/01,15.75,15.84,15.49,15.51
2019/11/04,15.29,15.6695,15.25,15.55
2019/11/05,15.63,15.89,15.59,15.8783
2019/11/06,15.84,16.12,15.76,15.8
2019/11/07,15.5,15.775,15.47,15.65
2019/11/08,15.71,15.84,15.31,15.31
2019/11/11,15.65,15.68,15.12,15.28
2019/11/12,15.13,15.2254,14.97,15.09
2019/11/13,15.25,15.3154,15.0364,15.19
2019/11/14,15.23,15.37,14.95,14.97
2019/11/15,14.74,14.78,14.31,14.3179
2019/11/18,14.34,14.46,14.2,14.3
2019/11/19,14.22,14.52,14.165,14.45
2019/11/20,14.46,15.12,14.3,14.6
2019/11/21,14.48,14.9,14.46,14.62
2019/11/22,14.44,14.55,14.18,14.18
2019/11/25,13.88,13.89,13.525,13.58
2019/11/26,13.49,13.56,13.3,13.39
2019/11/27,13.29,13.35,13.245,13.32
2019/11/29,13.44,13.6,13.38,13.54
2019/12/02,13.55,14.48,13.53,14.31
2019/12/03,15.37,15.65,15.07,15.14
2019/12/04,14.67,14.77,14.26,14.44
2019/12/05,14.21,14.7,14.2022,14.25
2019/12/06,13.69,13.96,13.65,13.78
2019/12/09,13.82,14.4799,13.75,14.4799
2019/12/10,14.42,14.77,14.2,14.46
2019/12/11,14.35,14.44,14.08,14.18
2019/12/12,14.14,14.22,13.32,13.39
2019/12/13,13.41,13.6,12.76,12.79
2019/12/16,12.36,12.51,12.2463,12.5
2019/12/17,12.36,12.56,12.31,12.4
2019/12/18,12.25,12.54,12.2225,12.52
2019/12/19,12.47,12.53,12.21,12.22
2019/12/20,12.19,12.37,12.14,12.37
2019/12/23,12.35,12.44,12.31,12.4
2019/12/24,12.35,12.42,12.255,12.28
2019/12/26,12.19,12.2888,12.17,12.25
2019/12/27,12.21,12.64,12.2,12.52
2019/12/30,12.64,13.1199,12.61,12.98
2019/12/31,13.12,13.2,12.39,12.44
2020/01/02,12.1,12.36,11.92,11.94
2020/01/03,12.9,12.93,12.29,12.54
2020/01/06,12.94,12.97,12.4,12.41
2020/01/07,12.46,12.62,12.22,12.35
2020/01/08,12.25,12.325,11.78,12.1
2020/01/09,11.78,11.92,11.66,11.676
2020/01/10,11.63,11.739,11.48,11.6101
2020/01/13,11.47,11.58,11.29,11.31
2020/01/14,11.3,11.419,11.12,11.23
2020/01/15,11.22,11.26,11.0926,11.2
2020/01/16,11.03,11.05,10.9,10.93
2020/01/17,10.92,11.14,10.9,10.96
2020/01/21,11.08,11.11,10.8,11.04
2020/01/22,10.84,11.12,10.83,11.1
2020/01/23,11.31,11.48,11.04,11.06
2020/01/24,10.9,11.94,10.87,11.7
2020/01/27,12.71,12.92,12.41,12.92
2020/01/28,12.59,12.69,12.115,12.17
2020/01/29,11.97,12.38,11.85,12.1993
2020/01/30,12.67,12.93,11.99,12.01
2020/01/31,12.3,13.73,12.25,13.38
2020/02/03,12.97,13.16,12.53,12.87
2020/02/04,12.25,12.33,12,12.19
2020/02/05,11.76,12.1,11.68,11.7
2020/02/06,11.57,11.818,11.51,11.59
2020/02/07,11.87,12.0422,11.63,11.75
2020/02/10,11.92,11.92,11.54,11.62
2020/02/11,11.42,11.64,11.34,11.605
2020/02/12,11.36,11.45,11.01,11.05
2020/02/13,11.44,11.47,11.13,11.25
2020/02/14,11.16,11.35,11.07,11.11
2020/02/18,11.29,11.53,11.16,11.29
2020/02/19,11.1,11.22,11.03,11.14
2020/02/20,11.21,11.905,11.1,11.53
2020/02/21,11.89,12.5699,11.78,12.235
2020/02/24,14.1,14.57,13.44,14.52
2020/02/25,14.01,16.32,13.92,15.9
2020/02/26,15.39,16.13,14.8402,15.54
2020/02/27,16.94,18.07,16.52,18.07
2020/02/28,20.1,20.55,18.66,18.75
2020/03/02,18.36,19.39,18.0141,18.05
2020/03/03,18.09,20.6,17.33,20.15
2020/03/04,19.23,19.9546,18.7,19.0304
2020/03/05,20.68,22.74,20.25,21.98
2020/03/06,26,26.84,24.01,24.3803
2020/03/09,33.5,33.79,28.92,30.43
2020/03/10,27.06,30.52,26.91,27.92
2020/03/11,30.27,32.38,29.88,31.49
2020/03/12,37.02,39.85,34.15,38.93
2020/03/13,34.58,40.59,34.5,35.52
2020/03/16,45,50.8999,42.28,49.28
2020/03/17,47.3,51.36,44.5,48.13
2020/03/18,54.01,64.56,50.885,56.32
2020/03/19,59.95,63,46,50.88
2020/03/20,48.62,51.78,43.1694,49.98
2020/03/23,46.68,48.73,40.45,41.99
2020/03/24,34.09,39.15,32.42,38.32
2020/03/25,39.5,43.21,39.14,41.48
2020/03/26,40.28,40.79,37.42,37.89
2020/03/27,41.27,41.69,39.75,41.389
2020/03/30,41.41,42.6,39.9,39.93
2020/03/31,40.14,40.4099,37.31,37.85
2020/04/01,40.58,41.79,38.65,41.18
2020/04/02,40.62,41.35,38.75,38.92
2020/04/03,38.54,39.26,36.93,37.29
2020/04/06,34.64,35.35,34.07,34.67
2020/04/07,33.58,35.82,33.47,35.64
2020/04/08,35.25,35.89,34.42,34.87
2020/04/09,34.61,35.19,33.95,34.1
2020/04/13,34,34.8,33.36,33.38
2020/04/14,31.51,31.7,30.38,30.67
2020/04/15,32.81,34.02,32.28,33.29
2020/04/16,33.49,34.45,33.1567,33.46
2020/04/17,32.05,33.19,31.88,32.01
2020/04/20,33.79,35.3,32.95,35.2999
2020/04/21,37.85,39.54,37.56,38.1
2020/04/22,36.69,37.41,35.92,36.24
2020/04/23,35.83,36.86,35.09,36.24
2020/04/24,35.56,35.9699,34.06,34.23
2020/04/27,33.23,33.23,31.15,31.58
2020/04/28,30.5,32.4751,30.34,32.1
2020/04/29,30.3,30.37,29.4299,30.11
2020/04/30,30.76,32.19,30.75,31.11
2020/05/01,33.71,34.53,33.1,33.8
2020/05/04,34.95,35.3,33.01,33.09
2020/05/05,31.86,31.95,30.83,31.78
2020/05/06,31.21,32.22,30.96,32.1928
2020/05/07,31.04,31.26,30.52,30.84
2020/05/08,29.92,30.1501,28.69,28.72
2020/05/11,29.47,29.5301,26.67,26.79
2020/05/12,26.01,29.5,25.7801,29.5
2020/05/13,29.87,33.79,29.23,32.5
2020/05/14,34.14,35.19,30.86,30.89
2020/05/15,32.27,32.78,30.045,30.06
2020/05/18,28.03,28.64,27.73,28.1
2020/05/19,28.24,29.58,27.63,29.57
2020/05/20,28.19,28.77,27.65,27.75
2020/05/21,27.74,29.01,27.36,28.37
2020/05/22,28.6,29.07,28.0701,28.17
