Date,Open,High,Low,Close
2017-08-15,48.76,49,48.06,48.21
2017-08-16,48.32,48.56,47.96,48.42
2017-08-17,48.25,48.34,45.52,45.73
2017-08-18,46,46,45.15,45.55
2017-08-21,45.69,46.09,45.41,45.71
2017-08-22,45.85,45.93,45.325,45.41
2017-08-23,45.18,45.2431,43.52,43.69
2017-08-24,43.86,43.88,42.67,42.91
2017-08-25,43.09,45.14,43.01,44.96
2017-08-28,44.93,45.07,44.48,44.66
2017-08-29,44.24,44.85,44.09,44.27
2017-08-30,44.25,44.48,43.61,44.04
2017-08-31,44.24,44.94,44.2,44.75
2017-09-01,44.85,45.44,44.65,45.02
2017-09-05,44.5,44.99,43.79,43.92
2017-09-06,42.81,44.38,42.32,44.03
2017-09-07,43.92,44.35,43.41,43.56
2017-09-08,43.53,43.91,43.21,43.32
2017-09-11,43.73,46.09,43.72,45.8601
2017-09-12,45.9,46.33,45.39,46.3
2017-09-13,46.35,47.58,46.1,47.01
2017-09-14,46.79,46.94,45.83,45.89
2017-09-15,45.01,46.02,44.92,45.98
2017-09-18,46.02,46.3,45.27,45.31
2017-09-19,45.3,45.66,44.03,44.09
2017-09-20,44.62,45.56,44.16,45.43
2017-09-21,45.47,46.57,44.99,45.99
2017-09-22,46.27,47.15,46.04,46.76
2017-09-25,46.66,47.64,46.57,47.39
2017-09-26,47.51,47.93,46.91,47.6
2017-09-27,47.58,48.1,46.6301,46.845
2017-09-28,46.48,48.29,46.48,47.18
2017-09-29,47.25,47.53,46.92,47.18
2017-10-02,47.22,47.76,47.02,47.72
2017-10-03,47.66,50.27,47.63,50.19
2017-10-04,50.18,51.58,50.17,50.4
2017-10-05,50.52,50.66,49.94,50.24
2017-10-06,50.38,51.27,50.33,50.97
2017-10-09,50.9,51.14,50.38,50.605
2017-10-10,52.04,53.25,51.98,53.04
2017-10-11,53.1,53.74,51.98,52.49
2017-10-12,52.39,52.83,52.01,52.64
2017-10-13,52.67,52.8611,52.13,52.36
2017-10-16,52.17,52.4,51.68,52.28
2017-10-17,52.72,52.82,51.87,52.07
2017-10-18,52.11,52.4373,51.54,52.02
2017-10-19,51.57,51.83,49.31,51.18
2017-10-20,51.34,52.02,51.19,51.6
2017-10-23,51.58,51.61,50.53,50.65
2017-10-24,50.69,52.1,50.23,51.95
2017-10-25,51.78,51.78,50.31,51.03
2017-10-26,52.01,53.19,48.17,48.61
2017-10-27,48.41,48.89,47.04,47.25
2017-10-30,47.07,47.37,46.54,46.95
2017-10-31,46.92,47.46,46.64,46.82
2017-11-01,47.94,48.2,47.19,47.53
2017-11-02,47.48,47.83,47.09,47.36
2017-11-03,47.36,47.61,46.8,47.15
2017-11-06,47.17,47.89,46.99,47.2
2017-11-07,47.18,47.23,46.25,46.46
2017-11-08,46.42,46.98,45.84,46.37
2017-11-09,45.85,46.3,45.07,45.48
2017-11-10,45.41,46.12,45.36,45.83
2017-11-13,45.63,45.86,45.18,45.55
2017-11-14,45.11,45.9,45.08,45.62
2017-11-15,45.51,47.1,45.25,46.99
2017-11-16,47.05,48.06,47.03,47.48
2017-11-17,47.45,47.645,47,47.3801
2017-11-20,47.33,47.88,46.92,47.69
2017-11-21,47.89,48.71,47.54,48.44
2017-11-22,48.37,48.76,48.06,48.45
2017-11-24,48.44,48.75,48.13,48.57
2017-11-27,48.61,48.8336,48.09,48.42
2017-11-28,48.48,49.42,48.2,49.23
2017-11-29,49.35,50.94,48.45,49.04
2017-11-30,49.55,51.1,49.09,50.49
2017-12-01,49.67,50.38,48.69,49.01
2017-12-04,50.1,51.47,49.65,49.72
2017-12-05,49.64,49.8466,49,49.26
2017-12-06,49.18,49.7,49.05,49.61
2017-12-07,49.53,50.9205,49.3,50.87
2017-12-08,51.01,51.57,50.71,50.8
2017-12-11,50.56,51.41,50.54,51.3
2017-12-12,51.27,51.53,50.16,50.26
2017-12-13,50.34,50.52,49.8,49.88
2017-12-14,50.39,51.15,50,50.2
2017-12-15,50.67,51.28,50.37,50.84
2017-12-18,51.02,51.65,51.02,51.27
2017-12-19,51.37,51.63,51.05,51.22
2017-12-20,51.35,52.1,50.95,51.92
2017-12-21,52.16,53.47,52.07,52.57
2017-12-22,52.49,52.71,52.19,52.6
2017-12-26,52.35,53.215,52.33,52.86
2017-12-27,52.6,52.68,51.86,52.38
2017-12-28,52.45,52.63,52.01,52.45
2017-12-29,52.42,52.82,51.78,51.81
2018-01-02,52.1,52.93,51.67,52.76
2018-01-03,52.66,52.66,51.84,52.12
2018-01-04,52.25,54.4,52.03,52.45
2018-01-05,52.56,52.76,52.21,52.65
2018-01-08,52.4,52.44,51.85,52.11
2018-01-09,53.01,53.37,52.005,52.07
2018-01-10,53.24,53.84,52.88,53.78
2018-01-11,54.49,56.71,54.18,56.18
2018-01-12,56.56,58.73,56.56,58.22
2018-01-16,58.55,58.84,57.3,57.73
2018-01-17,58.06,58.33,57.55,57.91
2018-01-18,57.76,58.71,57.56,58.09
2018-01-19,58.35,58.35,57.61,57.81
2018-01-22,57.73,58.12,57.28,58.11
2018-01-23,57.74,58.46,57.26,58.28
2018-01-24,54.14,55.24,53.24,54.77
2018-01-25,53.78,54.32,51.99,52.82
2018-01-26,53.42,53.67,52.12,52.84
2018-01-29,52.56,52.92,52.48,52.69
2018-01-30,52.23,52.82,52.14,52.37
2018-01-31,52.81,54.51,52.78,54.31
2018-02-01,53.95,54.64,53.59,53.87
2018-02-02,53.49,53.89,52.03,52.06
2018-02-05,51.99,52.39,49.64,49.64
