Date,Open,High,Low,Close
2016-10-27,20.03,20.11,19.845,19.885
2016-10-28,19.87,19.98,19.75,19.845
2016-10-31,19.84,20.07,19.78,20.06
2016-11-01,20.03,20.06,19.68,19.74
2016-11-02,19.7,19.77,19.545,19.61
2016-11-03,19.63,19.86,19.6,19.64
2016-11-04,19.62,19.76,19.59,19.7
2016-11-07,19.77,19.94,19.76,19.855
2016-11-08,19.93,19.99,19.845,19.9
2016-11-09,19.69,19.85,19.59,19.63
2016-11-10,19.64,19.6999,19.12,19.26
2016-11-11,19.3,19.44,19.205,19.335
2016-11-14,19.33,19.5,19.06,19.085
2016-11-15,19.1,19.355,19.05,19.28
2016-11-16,19.36,19.5,19.11,19.16
2016-11-17,19.2,19.29,19.14,19.155
2016-11-18,19.21,19.275,19.02,19.13
2016-11-21,19.18,19.2608,19.16,19.19
2016-11-22,19.26,19.31,19.18,19.185
2016-11-23,19.17,19.18,18.89,18.92
2016-11-25,18.95,18.995,18.86,18.91
2016-11-28,18.81,18.92,18.64,18.68
2016-11-29,18.66,19.04,18.65,19
2016-11-30,18.97,19,18.54,18.65
2016-12-01,18.66,18.7,17.92,18.09
2016-12-02,18.04,18.11,17.82,17.89
2016-12-05,17.87,18.3,17.86,18.27
2016-12-06,18.28,18.43,18.23,18.38
2016-12-07,18.43,18.72,18.4,18.59
2016-12-08,18.59,18.7,18.36,18.54
2016-12-09,18.5,18.63,18.43,18.49
2016-12-12,18.46,18.57,18.25,18.33
2016-12-13,18.3,18.35,17.97,17.99
2016-12-14,18.01,18.24,17.8,17.895
2016-12-15,17.65,17.75,17.295,17.53
2016-12-16,17.61,17.9,17.58,17.87
2016-12-19,17.98,18.25,17.91,18.24
2016-12-20,18.25,18.3,18.05,18.08
2016-12-21,18.08,18.2,18,18.1
2016-12-22,18.16,18.255,18.06,18.18
2016-12-23,18.3,18.3,17.99,18.15
2016-12-27,18.18,18.23,18.03,18.09
2016-12-28,17.93,17.96,17.76,17.91
2016-12-29,17.91,18.2156,17.86,18.16
2016-12-30,18.16,18.2,18.03,18.13
2017-01-03,18.11,18.57,18.1,18.57
2017-01-04,18.65,18.915,18.6,18.885
2017-01-05,18.9,18.95,18.82,18.94
2017-01-06,18.91,19.03,18.85,18.88
