Date,Open,High,Low,Close,Volume
2018-06-22,1742.63,1743,1711.9,1715.06,2164388
2018-06-25,1702.25,1705,1646.31,1663.17,4160997
2018-06-26,1672.37,1701.57,1663.34,1691.19,2360197
2018-06-27,1708.11,1711.95,1660,1660,2563988
2018-06-28,1671.51,1705.5,1661.17,1701.5,2616338
2018-06-29,1717,1723.41,1694.32,1699.67,2474322
2018-07-02,1682.7,1713.89,1678.06,1713.75,1844773
2018-07-03,1723.96,1725,1692.48,1694.88,1224968
2018-07-05,1706.05,1710.69,1682.15,1699.56,1756136
2018-07-06,1698.01,1715.27,1691.67,1711.01,1379167
2018-07-09,1723.76,1739.56,1716.23,1739.03,1575436
2018-07-10,1738.28,1750,1731,1743.35,1701145
2018-07-11,1737.35,1756.96,1734,1755.53,1707927
2018-07-12,1764.95,1798,1762.18,1796.6,2695856
2018-07-13,1803.93,1815.3,1795.23,1813.2,2518905
2018-07-16,1822.08,1841.95,1814.45,1822.49,3262549
2018-07-17,1811.56,1851.69,1797.38,1844,3401698
2018-07-18,1848.01,1858.88,1831.27,1842.47,2801302
2018-07-19,1829.46,1841,1811.27,1813.68,2546481
2018-07-20,1824.25,1834.84,1810.06,1813.68,2139385
2018-07-23,1815,1819,1769.99,1802,2107001
2018-07-24,1830.73,1840,1809.38,1829.28,2324523
2018-07-25,1829.3,1863.84,1822.64,1863.8,3333152
2018-07-26,1839,1844.68,1804.5,1805.22,5681651
2018-07-27,1876.05,1880.05,1806.53,1817.99,8768534
2018-07-30,1827.33,1829.5,1766.02,1779.28,5352547
2018-07-31,1786.49,1801.83,1739.32,1777.41,5382278
2018-08-01,1784,1798.4365,1776.02,1797.05,3885543
2018-08-02,1788.77,1836.56,1786,1834.21,3880943
2018-08-03,1838.78,1841,1821.501,1822.93,2389567
2018-08-06,1825.81,1847.77,1818.92,1847.68,2480210
2018-08-07,1854.53,1869.72,1846.27,1862.7,2596829
2018-08-08,1861,1891.51,1854.5,1886.52,3631508
2018-08-09,1882.38,1914.57,1877.48,1898.13,3755811
2018-08-10,1888.51,1899.5,1878.2125,1886,2710068
2018-08-13,1898.5,1925,1893.67,1895.65,4399293
2018-08-14,1919.39,1921.01,1900,1919.86,3654984
2018-08-15,1909.55,1916.21,1869.79,1882.37,7188924
2018-08-16,1903.94,1905.0499,1883.5525,1887.47,3621475
2018-08-17,1885.8,1888,1855.55,1882.22,3201138
2018-08-20,1890.57,1891.7465,1866.061,1877.24,2722850
2018-08-21,1880,1897.75,1874.405,1883.64,2861300
2018-08-22,1876.64,1905.8,1876.64,1905.45,2945031
2018-08-23,1907.17,1919.5,1900.76,1902.8,2409406
2018-08-24,1910.51,1916.01,1902.54,1905.43,2488959
2018-08-27,1915,1927.7,1906.01,1927.62,3336319
2018-08-28,1937.73,1941.7771,1928.82,1933,2842250
2018-08-29,1953.45,1998.69,1948.94,1998.38,6159931
2018-08-30,1997.42,2025.57,1986.9,2002.22,7007660
2018-08-31,2005.01,2022.38,2004.74,2013.83,2830739
2018-09-04,2026.5,2050.5,2013,2039.58,4420050
2018-09-05,2038.11,2040.38,1989.89,1995,4249859
2018-09-06,2006.505,2007.5,1935.21,1958.365,5614278
2018-09-07,1938.71,1975.2,1937.35,1952.2,3472937
2018-09-10,1970.43,1973.04,1931.5157,1941.81,3100576
2018-09-11,1928.27,1988.88,1917,1987.61,2715087
2018-09-12,1994,2000,1962.44,1990.07,2985582
2018-09-13,2000,2008.76,1982.0277,1990,3280352
2018-09-14,1991.75,1993,1959.22,1970.19,3440333
2018-09-17,1952.865,1956.82,1887.41,1908.03,6821963
2018-09-18,1917.5,1958.2,1916.01,1941.59,3024558
2018-09-19,1940.5,1940.83,1904.9,1926.28,2180429
2018-09-20,1943.1663,1955,1932.25,1944.3,2921514
2018-09-21,1953.51,1957.31,1910.5011,1915.01,5370017
2018-09-24,1898.59,1936.88,1865,1934.35,3642637
2018-09-25,1942.9,1975.91,1938.85,1974.55,2766623
2018-09-26,1968.3,1995.25,1961.52,1974.85,3223351
2018-09-27,1989.6,2016.1564,1989.5,2012.98,4055435
2018-09-28,2009.6628,2026.52,1996.4648,2002.57,3243297
2018-10-01,2021,2033.19,2003.6,2004.36,2232245
2018-10-02,2000.6014,2013.39,1965.77,1970,4012791
2018-10-03,1981.69,1989.7,1949.81,1952.76,4713942
2018-10-04,1949,1956,1896.57,1910.32,5137287
2018-10-05,1917.99,1929.08,1862.83,1889.58,5545721
2018-10-08,1870.585,1901.9962,1830.6627,1864.42,7061322
2018-10-09,1861,1896.6759,1852.32,1870.32,4496453
2018-10-10,1855.5332,1857,1754.41,1755.25,10503319
2018-10-11,1725.01,1754,1685.1,1719.36,11936763
2018-10-12,1795.905,1806.26,1742.53,1788.61,6314157
2018-10-15,1793.4,1794.8438,1734.23,1760.95,5859434
2018-10-16,1783.5,1823.88,1761.55,1820.15,5481724
2018-10-17,1832.03,1837.9916,1807,1831.73,4860411
2018-10-18,1819.738,1830.15,1767.87,1770.72,5609484
2018-10-19,1785,1809.1,1753,1764.03,6486965
2018-10-22,1784,1809.4999,1756,1789.005,4236373
2018-10-23,1742.24,1776.34,1714,1768.25,4808949
2018-10-24,1773.7,1777.71,1656.56,1659.63,5002212
2018-10-25,1703.34,1794.81,1692.0101,1782,8085683
2018-10-26,1649.59,1698.46,1603,1638.28,11006965
2018-10-29,1659.795,1665.7383,1495,1538.6078,10690836
2018-10-30,1481.58,1540.99,1476.36,1530.42,9332567
2018-10-31,1569.11,1623.91,1565.09,1599.19,4602373
2018-11-01,1623.53,1670.4465,1598.44,1665.86,7682121
2018-11-02,1678.59,1697.44,1651.83,1665.58,6221611
2018-11-05,1657.57,1658.09,1596.36,1627.45,5231856
2018-11-06,1618.35,1665,1614.55,1642.86,4000487
2018-11-07,1673,1759.23,1664.075,1757.36,7606948
2018-11-08,1752.89,1784,1725.11,1754.95,3299391
2018-11-09,1735.12,1743.9207,1701.87,1712.03,2962981
2018-11-12,1699.67,1708.55,1630.01,1636.79,3229882
2018-11-13,1649.29,1677.0638,1613.75,1631.445,2901917
2018-11-14,1656.32,1672.9952,1597.07,1600.1,6052227
2018-11-15,1581.01,1624.82,1546.51,1620,7969198
2018-11-16,1587.5,1614.48,1573.12,1593.59,5789575
2018-11-19,1577.01,1581.19,1503.36,1512.7,7408605
2018-11-20,1437.5,1534.75,1420,1495.46,10400723
2018-11-21,1542.99,1550,1516.2,1516.4,5464027
2018-11-23,1517,1536.2,1501.81,1502.08,2508385
2018-11-26,1539,1584.81,1524.22,1581.33,5901415
2018-11-27,1575.99,1597.65,1558.01,1582,5417385
2018-11-28,1613.92,1681.45,1601.215,1677.46,7904444
2018-11-29,1674.99,1692.37,1652.331,1672.94,6312746
2018-11-30,1679.5,1696,1666.5,1691.55,5186801
2018-12-03,1769.46,1778.34,1730,1772.9,6403320
2018-12-04,1756,1770.3383,1665.404,1668.64,8090560
2018-12-06,1614.87,1700,1609.85,1700,8247065
2018-12-07,1705.07,1718.9261,1625.46,1629.11,7080944
2018-12-10,1623.84,1657.99,1590.87,1641.2,7179113
2018-12-11,1678,1679.4684,1619.6,1643.4,5802900
2018-12-12,1669,1704.99,1660.27,1663.13,6044555
2018-12-13,1680,1692.12,1641.5,1659.74,4979728
2018-12-14,1638,1642.57,1585,1591.92,5752043
2018-12-17,1566,1576.13,1505.01,1519.75,8117515
2018-12-18,1540,1567.55,1523.01,1551.11,6143530
2018-12-19,1543.05,1584.53,1483.18,1494.83,7903568
2018-12-20,1484,1509.5,1432.69,1460.83,9314198
2018-12-21,1464.99,1480,1363.96,1376.73,12453718
2018-12-24,1346,1396.03,1307,1342.91,6958691
2018-12-26,1368.89,1473.1567,1363.01,1470.81,9884789
2018-12-27,1454.2,1469,1390.31,1462,9157443
2018-12-28,1473.35,1513.47,1449,1475.18,8215424
2018-12-31,1510.8,1520.76,1487,1492.38,6215958
2019-01-02,1465.2,1553.36,1460.93,1536.73,7132821
2019-01-03,1520.01,1538,1498.1062,1502.07,6340704
2019-01-04,1530,1594,1518.31,1574.54,8285596
2019-01-07,1602.31,1634.56,1589.185,1631.12,7252880
2019-01-08,1664.69,1676.61,1616.61,1655.835,8184304
2019-01-09,1652.98,1667.799,1641.3953,1657.59,5718583
2019-01-10,1643.07,1663.25,1621.615,1655.5,6024209
2019-01-11,1640.55,1660.294,1636.22,1639.66,4171157
2019-01-14,1615,1648.2,1595.15,1619.8767,5255053
2019-01-15,1632,1672.97,1626.01,1672.75,5504935
2019-01-16,1684.22,1705,1675.8787,1681.9703,5690955
2019-01-17,1681.46,1700.17,1677.5,1691.37,3801991
2019-01-18,1712,1716.2,1691.54,1693.2421,5590622
2019-01-22,1681,1681.8668,1610.2,1628.398,5768384
2019-01-23,1655.99,1657.43,1612,1636.55,4758701
2019-01-24,1641.07,1657.2572,1631.7847,1654.97,3419975
2019-01-25,1670,1683.48,1661.6122,1668.6,4248850
2019-01-28,1644.62,1645,1614.09,1636.185,4294355
2019-01-29,1631.27,1632.38,1590.72,1592.73,4087240
2019-01-30,1622.09,1676.95,1619.68,1670.2312,4779035
2019-01-31,1691.87,1736.411,1679.0822,1720.41,7804004
2019-02-01,1637.8,1673.06,1622.01,1623.8,10364406
2019-02-04,1623,1649.63,1613.5,1630.5,4434619
