Date,Open,High,Low,Close
2016-11-16,114.48,117.88,114.21,116.33
2016-11-17,116.83,117.79,116.01,117.78
2016-11-18,118.34,119.13,116.84,117.03
2016-11-21,118.2,121.95,117.8,121.78
2016-11-22,122.4,122.98,120.9,121.46
2016-11-23,121.23,121.31,119.94,120.84
2016-11-25,121.01,121.14,120.07,120.38
2016-11-28,120.12,121.69,119.82,120.44
2016-11-29,120.57,122.1,120.4,120.9
2016-11-30,120.32,121.79,117.95,118.42
2016-12-01,118.38,118.45,114,115.07
2016-12-02,115.07,116.48,114.3,115.42
2016-12-05,115.95,117.57,115.07,117.43
2016-12-06,117.69,117.795,116.33,117.31
2016-12-07,117,117.94,116.57,117.94
2016-12-08,117.95,119.5,117.64,118.9
2016-12-09,119.26,119.94,118.95,119.67
2016-12-12,119.24,119.24,117.65,117.77
2016-12-13,117.86,121.52,117.61,120.31
2016-12-14,120,121.69,118.85,120.23
2016-12-15,120.08,122.5,119.63,120.57
2016-12-16,120.94,121.5,119.27,119.87
2016-12-19,119.85,120.36,118.51,119.24
2016-12-20,119.5,119.77,118.8,119.08
2016-12-21,118.92,119.2,118.48,119.03
2016-12-22,118.9,118.99,116.93,117.4
2016-12-23,117,117.56,116.3,117.27
2016-12-27,116.96,118.68,116.864,117.98
2016-12-28,118.19,118.25,116.65,116.92
2016-12-29,117,117.531,116.06,116.35
2016-12-30,116.72,116.83,114.7739,115.14
2017-01-03,116.03,117.84,115.51,116.85
2017-01-04,117.54,119.66,117.29,118.7
2017-01-05,118.86,120.95,118.3209,120.67
2017-01-06,120.85,123.88,120.03,123.43
2017-01-09,123.55,125.43,123.04,124.92
2017-01-10,124.82,125.5,124.28,124.35
2017-01-11,124.35,126.12,124.06,126.08
2017-01-12,125.61,126.73,124.8,126.64
2017-01-13,127.49,129.27,127.37,128.33
2017-01-17,128.02,128.34,127.4,127.85
2017-01-18,128.41,128.43,126.84,127.92
2017-01-19,128.23,128.35,127.45,127.55
2017-01-20,128.17,128.48,126.78,127.07
2017-01-23,127.31,129.25,126.95,128.93
2017-01-24,129.38,129.9,128.38,129.36
2017-01-25,130,131.74,129.77,131.49
2017-01-26,131.85,133.14,131.4401,132.78
2017-01-27,132.68,132.95,131.08,132.18
2017-01-30,131.58,131.58,129.6,130.93
2017-01-31,130.09,130.66,129.5157,130.33
2017-02-01,132.24,133.49,130.68,133.23
2017-02-02,133.26,135.49,130.4,130.84
2017-02-03,131.2,132.85,130.76,130.96
2017-02-06,130.98,132.06,130.3,132.06
2017-02-07,132.24,133,131.661,131.83
2017-02-08,132.76,134.44,132.44,134.2
2017-02-09,134.53,134.53,133.31,134.13
2017-02-10,134.1,134.94,133.68,134.19
2017-02-13,134.65,134.6975,133.7,134.04
2017-02-14,134.21,134.23,132.55,133.85
2017-02-15,133.45,133.7,132.66,133.43
2017-02-16,133.06,133.87,133.022,133.8
2017-02-17,133.5,134.0912,133.17,133.52
2017-02-21,133.51,133.91,132.9,133.72
2017-02-22,133.6,136.79,133.46,136.1
2017-02-23,135.89,136.12,134.33,135.35
2017-02-24,134.16,135.62,134.16,135.4
2017-02-27,135.26,137.1846,135.02,136.41
2017-02-28,136.79,136.805,134.75,135.5418
2017-03-01,136.49,137.48,136.3,137.39
2017-03-02,137.09,137.82,136.31,136.75
2017-03-03,136.63,137.33,136.08,137.12
2017-03-06,136.88,137.83,136.51,137.42
2017-03-07,137.11,138.37,136.99,137.26
2017-03-08,137.15,137.99,137.0516,137.72
2017-03-09,137.72,138.57,137.4,138.25
2017-03-10,138.91,139.49,138.22,138.82
2017-03-13,138.69,139.68,138.6729,139.59
2017-03-14,139.42,139.46,138.52,139.32
2017-03-15,139.27,140,138.49,139.7
2017-03-16,140.2,140.25,139.73,139.99
2017-03-17,140.21,140.34,139.7,139.77
2017-03-20,139.71,140.19,139.25,139.94
2017-03-21,141.15,142.3082,138.4,138.515
2017-03-22,137.93,139.79,137.6,139.58
2017-03-23,139.48,140.39,139.09,139.55
2017-03-24,140.08,141.0244,139.76,140.36
2017-03-27,139.05,140.65,138.77,140.32
2017-03-28,140.37,141.95,140.01,141.76
2017-03-29,141.99,142.86,141.43,142.69
2017-03-30,142.6,142.95,141.85,142.42
2017-03-31,142.31,142.63,141.89,142.05
2017-04-03,141.93,142.47,140.82,142.28
2017-04-04,141.86,142.09,141.27,141.72
2017-04-05,142.21,143.44,141.29,141.85
2017-04-06,142.11,142.22,140.91,141.18
2017-04-07,141.2,141.55,140.24,140.78
2017-04-10,141,141.43,140.63,141.03
2017-04-11,140.8,141.0299,138.81,139.93
2017-04-12,139.78,140.4,139.44,139.58
2017-04-13,139.54,140.58,139.33,139.4
2017-04-17,139.76,141.55,139.75,141.43
2017-04-18,141.27,141.905,140.61,140.96
2017-04-19,141.35,143.04,141.27,142.27
2017-04-20,142.92,144.25,142.689,143.8
2017-04-21,144,144.17,143.39,143.67
2017-04-24,144.94,145.6738,144.34,145.47
2017-04-25,145.8,147.15,145.7898,146.51
2017-04-26,147.09,147.59,146.09,146.57
2017-04-27,146.67,147.75,146.14,147.71
2017-04-28,149.5,151.53,149.07,150.27
2017-05-01,151.74,152.57,151.42,152.46
2017-05-02,153.4,153.44,151.66,152.78
2017-05-03,153.6,153.6,151.34,151.68
2017-05-04,150.17,151.52,148.72,150.84
2017-05-05,151.45,151.63,149.79,150.2
2017-05-08,150.71,151.08,149.74,151.05
2017-05-09,151.49,152.59,150.21,150.49
2017-05-10,150.23,150.52,148.86,150.29
2017-05-11,150.31,150.65,149.41,150.04
