Date,Open,High,Low,Close,Volume
2018-06-22,108.17,108.37,105.51,105.73,11779458
2018-06-25,105.66,105.7,103.96,104.78,13432948
2018-06-26,104.71,105.21,103.11,104.83,13257337
2018-06-27,104.68,105.92,103.23,103.25,12870499
2018-06-28,103.68,105.46,103.51,104.94,11382294
2018-06-29,106.68,106.9,104.15,104.33,14055683
2018-07-02,103.72,105.09,103.38,105.04,8912632
2018-07-03,105.41,105.775,103.52,103.82,6658618
2018-07-05,104.17,104.38,103.53,103.78,8637917
2018-07-06,103.12,104.5,102.2,104.05,9809359
2018-07-09,104.71,107.46,104.71,107.29,11308944
2018-07-10,108.04,108.4,106.53,106.63,11670052
2018-07-11,106.31,107.06,106.21,106.42,8083991
2018-07-12,107.42,107.56,105.97,106.81,10114834
2018-07-13,107.3,107.8,105.14,106.33,17957993
2018-07-16,107.05,110.77,106.98,110.54,19368884
2018-07-17,110.69,110.93,109.7499,110.51,10621958
2018-07-18,110.42,112.12,110.2,111.52,10613277
2018-07-19,111.06,111.09,109.73,109.87,11195465
2018-07-20,110,111.74,109.78,111.29,11235277
2018-07-23,111.06,114.24,110.93,113.35,14934769
2018-07-24,113.55,114.78,113.42,114.15,11727378
2018-07-25,113.88,115.52,113.38,115.16,10033670
2018-07-26,115.42,115.585,114.581,114.84,7606604
2018-07-27,115.19,116.3,114.81,116.04,10152600
2018-07-30,116.28,117.61,116.06,116.74,10813012
2018-07-31,117.08,117.08,114.82,114.91,11434122
2018-08-01,115.75,116.69,115.28,115.65,11256449
2018-08-02,114.57,116.25,114.33,116.16,7657530
2018-08-03,116,117.13,115.94,117.06,8767320
2018-08-06,116.79,117.53,116.18,117.11,7239509
2018-08-07,117.74,118.29,117.33,117.54,7756471
2018-08-08,117.33,118.2686,117.28,117.79,6592887
2018-08-09,117.51,117.72,116.695,116.88,7045238
2018-08-10,115.5,115.95,114.6839,115.68,9616531
2018-08-13,115.56,115.878,113.815,113.88,7682189
2018-08-14,114.27,115.04,113.6499,114.69,7836107
2018-08-15,113.82,114.33,112.97,113.68,7521050
2018-08-16,114.35,115.31,114.3,114.78,7786176
2018-08-17,114.64,115.07,114.3,114.77,6652318
2018-08-20,114.59,115.05,114.11,114.62,6643574
2018-08-21,115.37,116.385,114.88,115.27,8266208
2018-08-22,115.31,115.41,114.78,114.97,6379122
2018-08-23,114.96,115.15,114.43,114.72,7357020
2018-08-24,114.98,115.22,114.451,114.66,6883875
2018-08-27,115.22,117.28,115.17,116.7,9875674
2018-08-28,117,117.03,115.97,116.14,6557001
2018-08-29,116.2,116.37,115.36,115.77,5139838
2018-08-30,115.59,116.04,114.98,115.18,7099092
2018-08-31,114.83,114.84,113.819,114.51,8182070
2018-09-04,114.34,115.24,113.63,115.15,7756654
2018-09-05,115,115.7,114.25,114.56,7747006
2018-09-06,114.5,114.7,113.5,114.09,7218448
2018-09-07,114.5,114.77,113.63,114.32,7512268
2018-09-10,114.85,114.97,113.66,113.73,6384622
2018-09-11,113.54,114.575,113.18,114.42,6630947
2018-09-12,114.25,114.88,112.85,113.04,8359938
2018-09-13,113.37,114.13,112.67,113.58,9310478
2018-09-14,113.81,114.49,113.23,113.52,7257158
2018-09-17,113.76,114.43,113.3,113.87,6820484
2018-09-18,114.33,114.655,113.56,114.35,5752758
2018-09-19,114.77,118.06,114.44,117.64,12570423
2018-09-20,118.5,119.24,118.08,118.64,12179298
2018-09-21,119.13,119.23,117.74,117.85,13382939
2018-09-24,117.81,118.46,116.4315,116.71,9690953
2018-09-25,117.04,117.97,116.32,116.39,6385760
2018-09-26,116.75,116.8699,114.66,115.04,10361338
2018-09-27,115.42,115.76,114.16,114.53,9089677
2018-09-28,113.65,114.24,112.52,112.83,10659444
2018-10-01,113.37,114.61,113.04,113.53,8091892
2018-10-02,113.36,114.12,112.8128,113.98,9892119
2018-10-03,114.94,115.66,114.48,115.06,12257039
2018-10-04,114.55,116.81,114.21,115.28,12990204
2018-10-05,115.83,116.1,114.015,114.63,10180903
2018-10-08,114.25,115.78,113.3534,115.33,10059730
2018-10-09,114.67,115.03,113.67,114.55,9807063
2018-10-10,114.7,114.95,111.57,111.65,17769769
2018-10-11,110.97,111.47,107.38,108.08,27890808
2018-10-12,110.44,110.83,105.6,106.89,26859730
2018-10-15,107.2,108.85,106.32,106.35,15021454
2018-10-16,107.16,108.78,106.73,108.63,16061184
2018-10-17,108.43,110.8,108.23,109.9,14282082
2018-10-18,109.02,109.84,107.81,108.12,14231583
2018-10-19,107.65,109.22,107.27,107.93,12233059
2018-10-22,108.15,108.34,106.1132,106.34,12836306
2018-10-23,104.2,106.16,103.7,105.25,18060525
2018-10-24,104.76,105.03,102.9068,103.28,18770577
2018-10-25,104.18,105.9,103.72,104.89,13137854
2018-10-26,104,104.56,102.73,103.39,15622208
2018-10-29,104.46,106.63,103.7,104.86,14805779
2018-10-30,105.71,106.98,104.86,106.73,13796732
2018-10-31,108.08,110.48,107.79,109.07,15296704
2018-11-01,109.62,110.22,108.32,108.95,10583508
2018-11-02,109.9,110.81,107.49,108.31,13008530
2018-11-05,108.61,109.29,108.42,109.07,7519236
2018-11-06,108.67,109.67,107.76,109.58,7516195
2018-11-07,110.37,111.73,109.35,111.49,9548262
2018-11-08,111.01,112.925,111,112.36,9576599
2018-11-09,112.23,112.36,110.83,111.25,7837186
2018-11-12,111.42,111.94,108.6,108.98,9525869
2018-11-13,109.1,111.12,109.1,109.59,10881335
2018-11-14,110.23,110.71,105.9836,107.37,16407229
2018-11-15,108.24,110.08,106.81,110.07,17014442
2018-11-16,109.45,110.76,108.55,110.03,12247043
2018-11-19,109.96,111.2,109.5282,110.84,12571801
2018-11-20,109.78,110.49,107.98,108.46,15875348
2018-11-21,109.03,109.61,107.64,107.67,9423391
2018-11-23,106.74,107.39,106.06,106.62,5766442
2018-11-26,107.72,109.98,107.45,109.27,10762506
2018-11-27,108.76,110.03,108.63,109.73,8445297
2018-11-28,109.8,111.4,108.87,110.97,11471684
2018-11-29,110.27,110.795,109.635,110.05,9671766
2018-11-30,109.85,111.32,109.58,110.93,9342603
2018-12-03,112.38,112.89,111.74,112.25,11339730
2018-12-04,111.6,111.6,106.73,107.31,20197419
2018-12-06,105.01,105.36,102.88,105.16,24473553
2018-12-07,105.16,106.9817,102.91,103.3,16046037
2018-12-10,102.87,103.49,99.28,101.33,21355127
2018-12-11,103.13,103.66,100.21,100.39,15455049
2018-12-12,101.66,102.9,100.0603,101.06,18994031
2018-12-13,101.55,101.97,100.67,101.08,15426008
2018-12-14,99.99,101.94,99.86,100.32,16145205
2018-12-17,99.77,100.56,98.435,99.03,21623917
2018-12-18,99.42,100.89,98.12,98.53,18935462
2018-12-19,98.41,100.58,96.6,97.31,25236594
2018-12-20,96.61,98.28,95.69,96.37,27783050
2018-12-21,96.68,98.43,93.685,94.1,32677263
2018-12-24,92.89,94.22,92.14,92.22,15764559
2018-12-26,92.69,95.95,91.11,95.93,20327920
2018-12-27,94.82,97.05,93.55,97.05,18590329
2018-12-28,97.95,98.32,96.44,96.7828,16436187
2018-12-31,97.59,98.8085,96.77,97.1097,10486926
2019-01-02,95.95,99.78,95.94,99.1999,13357784
2019-01-03,98.64,98.89,96.69,97.32,13793573
2019-01-04,99.11,100.93,98.28,100.66,13539581
2019-01-07,100.43,101.47,99.7103,100.86,10596704
2019-01-08,101.63,101.82,99.545,100.49,12102456
2019-01-09,100.81,101.49,99.93,100.28,11968020
2019-01-10,100.02,100.73,99.27,100.38,11292239
2019-01-11,99.89,100.17,98.95,100,13531703
2019-01-14,98.87,101.36,98.66,100.94,15003278
2019-01-15,98.89,102.47,98.6,101.61,24418318
2019-01-16,102.25,103.45,101.8,102.55,16320567
2019-01-17,102.11,103.5,101.36,102.93,12441059
2019-01-18,103.77,104.84,102.83,104.38,13800407
2019-01-22,103.08,103.59,102.13,102.55,12768620
2019-01-23,103.44,103.7,96.55,102.61,10370064
2019-01-24,102.13,103.09,101.94,102.71,8710643
2019-01-25,103.51,104.31,102.74,103.29,12200898
2019-01-28,102.89,104.24,102.59,103.785,10845190
2019-01-29,103.88,105.11,103.7301,104.06,8323799
2019-01-30,104.14,105.24,103.78,104.21,10932082
2019-01-31,103.41,103.8,102.73,103.66,12496241
2019-02-01,104,104.8455,103.52,103.75,9448050
2019-02-04,103.79,104.195,103.01,104.19,7987663
2019-02-05,104.52,104.55,103.29,103.68,9690798
2019-02-06,103.71,104.62,103.465,103.735,7006172
2019-02-07,103.25,103.5,101.44,102.235,11047286
2019-02-08,102.08,102.335,100.06,101.1699,10222822
2019-02-11,101.76,102.01,100.771,100.9,9139034
2019-02-12,101.95,102.92,101.89,102.545,10411657
2019-02-13,102.9,103.85,102.9,103.055,8893158
2019-02-14,102.47,103.1,101.35,102.54,9818751
2019-02-15,103.9,105.7,103.66,105.54,12733186
2019-02-19,104.91,105.37,103.81,105.16,10765679
2019-02-20,105.21,105.8,104.875,105.73,8151797
2019-02-21,105.45,105.99,104.96,105.48,7350799
2019-02-22,105.7,106.09,104.775,105,9169250
2019-02-25,105.75,107.27,105.69,106.08,9323283
2019-02-26,104.5,105.47,103.94,105.27,13636545
2019-02-27,105.18,105.38,104.505,105.16,9138793
2019-02-28,105.01,105.21,104.18,104.35,13550786
2019-03-01,105.1,105.905,104.2,104.42,12086606
2019-03-04,104.92,105.9155,103.2668,104.24,10396170
2019-03-05,104.13,104.55,103.26,104.13,8544327
2019-03-06,103.86,104.57,103.55,103.74,7904792
2019-03-07,103.25,103.47,102.16,102.96,10139166
2019-03-08,101.99,103.23,101.99,103.03,9318068
2019-03-11,103.98,104.545,103.66,104.35,8001523
2019-03-12,104.59,104.79,103.7544,104.06,8677442
2019-03-13,104.19,104.98,103.95,104.39,11373273
2019-03-14,104.5,105.87,104.46,105.36,8739523
2019-03-15,105.5,106.8,105.23,106.53,8782095
2019-03-18,106.55,107.785,106.5,107.22,10091847
