Date,Open,High,Low,Close
2016/10/13,56.67,57.3,56.315,56.92
2016/10/14,57.12,57.74,57.12,57.43
2016/10/17,57.36,57.46,56.87,57.21
2016/10/18,57.53,57.945,57.41,57.65
2016/10/19,57.47,57.84,57.395,57.56
2016/10/20,57.5,57.52,56.66,57.24
2016/10/21,60.3,60.45,59.485,59.68
2016/10/24,59.94,61,59.93,60.99
2016/10/25,60.86,61.3699,60.8,61.01
2016/10/26,60.8,61.2,60.47,60.63
2016/10/27,60.62,60.83,60.09,60.11
2016/10/28,60.01,60.52,59.58,59.87
2016/10/31,60.16,60.42,59.93,59.93
2016/11/01,60,60.02,59.25,59.8
2016/11/02,59.82,59.93,59.3,59.43
2016/11/03,59.53,59.64,59.11,59.2
2016/11/04,58.74,59.28,58.52,58.71
2016/11/07,59.795,60.52,59.78,60.42
2016/11/08,60.55,60.78,60.15,60.47
2016/11/09,60,60.59,59.2,60.17
2016/11/10,60.48,60.49,57.6302,58.71
2016/11/11,58.27,59.116,58.01,59.02
2016/11/14,59.1,59.1,57.28,58.12
2016/11/15,58.32,59.49,58.315,58.87
2016/11/16,58.94,59.66,54.27,59.64
2016/11/17,60.41,60.95,59.965,60.64
2016/11/18,60.72,61.14,60.3,60.37
2016/11/21,60.54,60.97,60.42,60.87
2016/11/22,60.98,61.26,60.805,61.11
2016/11/23,61.01,61.1,60.25,60.4
2016/11/25,60.3,60.53,60.13,60.53
2016/11/28,60.34,61.02,60.21,60.63
2016/11/29,60.65,61.41,60.52,61.11
2016/11/30,60.86,61.18,60.215,60.26
2016/12/01,60.07,60.15,58.935,59.18
2016/12/02,59.08,59.47,58.8,59.26
2016/12/05,59.7,60.585,59.56,60.21
2016/12/06,60.43,60.46,59.8,59.95
2016/12/07,60.01,61.38,59.8,61.36
2016/12/08,61.3,61.58,60.84,61
2016/12/09,61.18,61.99,61.125,61.98
2016/12/12,61.87,62.3,61.72,62.17
2016/12/13,62.5,63.42,62.24,62.98
2016/12/14,63,63.45,62.53,62.69
2016/12/15,62.7,63.1535,62.3,62.57
2016/12/16,62.91,62.95,62.115,62.3
2016/12/19,62.55,63.77,62.42,63.62
2016/12/20,63.69,63.8,63.025,63.54
2016/12/21,63.49,63.7,63.12,63.55
2016/12/22,63.84,64.1,63.405,63.55
2016/12/23,63.52,63.54,62.8,63.24
2016/12/27,63.21,64.07,63.21,63.27
2016/12/28,63.4,63.4,62.83,62.99
2016/12/29,62.86,63.2,62.73,62.9
2016/12/30,62.98,62.99,62.03,62.15
2017/01/03,62.76,62.84,62.125,62.57
2017/01/04,62.48,62.75,62.12,62.3
2017/01/05,62.19,62.66,62.03,62.3
2017/01/06,62.38,63.15,62.04,62.84
2017/01/09,62.79,63.08,62.54,62.65
2017/01/10,62.73,63.07,62.28,62.62
2017/01/11,62.61,63.23,62.43,63.16
2017/01/12,63.09,63.4,61.95,62.61
2017/01/13,62.62,62.865,62.35,62.685
2017/01/17,62.67,62.7,62.03,62.52
2017/01/18,62.67,62.7,62.12,62.49
2017/01/19,62.31,62.98,62.195,62.29
2017/01/20,62.66,62.82,62.37,62.73
2017/01/23,62.7,63.1159,62.57,62.98
2017/01/24,63.2,63.735,62.94,63.52
2017/01/25,63.95,64.1,63.45,63.68
2017/01/26,64.12,64.535,63.55,64.28
2017/01/27,65.39,65.91,64.89,65.78
2017/01/30,65.69,65.79,64.8,65.12
2017/01/31,64.86,65.15,64.26,64.65
2017/02/01,64.36,64.62,63.47,63.57
2017/02/02,63.25,63.41,62.75,63.13
2017/02/03,63.5,63.7,63.07,63.67
2017/02/06,63.5,63.65,63.14,63.63
2017/02/07,63.71,63.8,63.23,63.42
2017/02/08,63.56,63.81,63.22,63.33
2017/02/09,63.52,64.435,63.32,64.05
2017/02/10,64.25,64.3,63.975,64
2017/02/13,64.24,64.86,64.13,64.71
2017/02/14,64.55,64.72,64.02,64.57
2017/02/15,64.49,64.57,64.155,64.53
2017/02/16,64.74,65.24,64.44,64.51
2017/02/17,64.46,64.69,64.3,64.61
2017/02/21,64.64,64.95,64.45,64.46
2017/02/22,64.35,64.39,64.05,64.36
2017/02/23,64.42,64.7285,64.195,64.62
2017/02/24,64.49,64.8,64.135,64.62
2017/02/27,64.54,64.54,64.045,64.22
