Date,Open,High,Low,Close,Volume
2019-03-20,6.02,6.03,5.71,5.85,37691338
2019-03-21,5.75,5.945,5.74,5.84,20370431
2019-03-22,5.8,5.87,5.6,5.62,24020700
2019-03-25,5.62,5.66,5.27,5.345,38184414
2019-03-26,5.2,5.22,4.9,4.97,64308300
2019-03-27,5.01,5.19,4.96,4.98,37379306
2019-03-28,5.04,5.17,4.93,4.9901,27670360
2019-03-29,5.06,5.13,5.03,5.09,21406871
2019-04-01,5.29,5.4,5.14,5.21,17223757
2019-04-02,5.43,5.61,5.345,5.39,51027956
2019-04-03,5.55,5.58,5.23,5.32,32646817
2019-04-04,5.39,5.5,5.27,5.3586,27507988
2019-04-05,5.37,5.4,5.31,5.36,14395273
2019-04-08,5.33,5.38,5.25,5.3,14804027
2019-04-09,5.28,5.28,5.06,5.08,30262299
2019-04-10,5.06,5.11,4.96,5.04,23331081
2019-04-11,5,5.085,4.97,5.01,15830137
2019-04-12,5.03,5.06,4.95,4.98,14036170
2019-04-15,4.99,5,4.72,4.77,25228910
2019-04-16,4.8,4.81,4.43,4.45,44588457
2019-04-17,4.6101,4.72,4.51,4.59,25605184
2019-04-18,4.53,4.92,4.44,4.785,29606811
2019-04-22,4.74,4.81,4.62,4.78,11751289
2019-04-23,4.82,4.92,4.73,4.82,14072986
2019-04-24,4.79,5.01,4.75,5,19348045
2019-04-25,5.01,5.15,4.85,4.89,20482419
2019-04-26,4.85,4.93,4.77,4.91,10983152
2019-04-29,4.89,5.05,4.87,4.98,13029190
2019-04-30,4.98,5.08,4.8,4.85,14130655
2019-05-01,4.84,4.85,4.69,4.6962,12052609
2019-05-02,4.74,4.75,4.5733,4.74,13548124
2019-05-03,4.73,5.11,4.73,5.015,24696530
2019-05-06,4.72,4.88,4.69,4.87,14235151
2019-05-07,4.81,4.92,4.76,4.84,11005173
2019-05-08,4.79,4.81,4.56,4.565,18495530
2019-05-09,4.54,4.7,4.51,4.6,15084596
2019-05-10,4.6,4.66,4.51,4.57,16124541
2019-05-13,4.5,4.5,4.3,4.32,20397457
2019-05-14,4.47,4.67,4.41,4.67,25588545
2019-05-15,4.59,4.75,4.53,4.72,12809769
2019-05-16,4.65,4.85,4.61,4.67,14640761
2019-05-17,4.58,4.7,4.42,4.42,18101087
2019-05-20,4.38,4.4,4.11,4.25,21615236
2019-05-21,4.35,4.45,4.25,4.28,21857443
2019-05-22,4.25,4.3,4,4.05,33661708
2019-05-23,3.96,4.03,3.83,3.92,24547116
2019-05-24,3.98,4.045,3.81,3.86,23659918
2019-05-28,4.12,4.14,3.88,3.98,54283528
2019-05-29,3.89,3.9,3.6,3.6,38466482
2019-05-30,3.55,3.5507,3.11,3.24,52142841
2019-05-31,3.07,3.15,3,3.03,36395893
2019-06-03,2.98,3.06,2.74,2.96,45795650
2019-06-04,3,3.11,2.97,3.05,27375841
2019-06-05,3.07,3.09,2.76,2.8366,34049027
2019-06-06,2.9,2.9,2.54,2.645,48054297
2019-06-07,2.64,2.81,2.55,2.77,28485182
2019-06-10,2.75,2.82,2.59,2.63,31035869
2019-06-11,2.67,2.67,2.55,2.61,30189209
2019-06-12,2.62,2.62,2.5,2.54,26543447
2019-06-13,2.55,2.62,2.5,2.53,19826392
2019-06-14,2.44,2.45,2.35,2.41,23858309
2019-06-17,2.39,2.53,2.35,2.46,19073205
2019-06-18,2.52,2.71,2.45,2.53,46879102
2019-06-19,2.67,2.84,2.56,2.755,40977016
2019-06-20,2.87,3.05,2.8,2.845,50784457
2019-06-21,2.88,2.9,2.57,2.63,45626404
2019-06-24,2.61,2.685,2.51,2.64,20812076
2019-06-25,2.64,2.66,2.55,2.6,14875208
2019-06-26,2.64,2.73,2.54,2.55,19164215
2019-06-27,2.51,2.62,2.44,2.6,23753149
2019-06-28,2.615,2.63,2.51,2.54,14475956
2019-07-01,2.67,2.68,2.58,2.61,16757332
2019-07-02,2.6,2.845,2.57,2.83,31844710
2019-07-03,2.93,3.29,2.9,3.16,71197983
2019-07-05,3.31,3.34,3.15,3.26,32568388
2019-07-08,3.21,3.5,3.13,3.493,37559467
2019-07-09,3.575,3.9,3.42,3.7,81929806
2019-07-10,3.95,4,3.6,3.6565,74552824
2019-07-11,3.64,3.68,3.32,3.41,53379157
2019-07-12,3.34,3.639,3.32,3.47,35765286
2019-07-15,3.49,3.5202,3.34,3.3887,18625439
2019-07-16,3.4,3.45,3.26,3.3,23820866
2019-07-17,3.28,3.52,3.25,3.4299,24593528
2019-07-18,3.47,3.495,3.31,3.43,16618917
2019-07-19,3.43,3.48,3.36,3.365,12832292
2019-07-22,3.38,3.45,3.31,3.385,11528495
2019-07-23,3.43,3.49,3.37,3.465,11635281
2019-07-24,3.45,3.75,3.44,3.68,35222713
2019-07-25,3.68,3.72,3.5,3.5,24134979
2019-07-26,3.56,3.62,3.5,3.51,14452672
2019-07-29,3.55,3.58,3.32,3.46,24185437
2019-07-30,3.4292,3.44,3.35,3.38,12769172
2019-07-31,3.38,3.53,3.36,3.47,17750462
2019-08-01,3.45,3.51,3.2,3.28,25374020
2019-08-02,3.21,3.33,3.16,3.27,13479124
2019-08-05,3.14,3.14,2.85,2.9583,34349069
2019-08-06,3.09,3.14,3,3.1,19997477
2019-08-07,3.04,3.09,2.93,3.09,15964376
2019-08-08,3.13,3.26,3.11,3.17,18541346
2019-08-09,3.1,3.18,3.1,3.13,9378369
2019-08-12,3.05,3.11,2.96,3.05,12590434
2019-08-13,3,3.2,3,3.15,17173661
2019-08-14,3.075,3.08,2.88,2.9,26640270
2019-08-15,2.99,2.99,2.77,2.82,15702013
2019-08-16,2.89,3.01,2.86,2.955,14339193
2019-08-19,3,3.1,3,3.01,12500178
2019-08-20,3.06,3.21,3,3.17,15586926
2019-08-21,3.23,3.27,3.02,3.06,19544479
2019-08-22,3.06,3.09,3.01,3.02,11533248
2019-08-23,3,3.04,2.885,2.91,12653365
2019-08-26,2.95,2.95,2.83,2.91,13015230
2019-08-27,2.92,3,2.83,2.92,16115915
2019-08-28,2.9,2.92,2.83,2.86,8402916
2019-08-29,2.91,2.93,2.85,2.855,10921438
2019-08-30,2.9,2.91,2.84,2.875,7195151
2019-09-03,2.82,2.83,2.58,2.6,24461091
2019-09-04,2.7,2.75,2.64,2.75,13747367
2019-09-05,2.81,3,2.8,2.95,21233137
2019-09-06,2.99,3,2.87,2.975,13530150
2019-09-09,3,3.14,2.93,3.14,16475582
2019-09-10,3.13,3.33,3.07,3.32,19667688
2019-09-11,3.28,3.33,3.16,3.27,12855554
2019-09-12,3.24,3.265,3.1,3.18,10667547
2019-09-13,3.22,3.27,3.15,3.23,7457515
2019-09-16,3.15,3.21,3.09,3.11,11425936
2019-09-17,3.11,3.17,3,3.17,11503455
2019-09-18,3.21,3.21,3.03,3.0806,11770205
2019-09-19,3.12,3.16,3.08,3.105,7917891
2019-09-20,3.14,3.16,3.02,3.03,10443008
2019-09-23,2.98,2.98,2.71,2.715,36522566
2019-09-24,2.22,2.24,1.97,2.165,109445273
2019-09-25,2.15,2.15,2.02,2.0522,35874892
2019-09-26,2.05,2.06,1.9,1.955,48487873
2019-09-27,1.94,2,1.71,1.73,56475458
2019-09-30,1.72,1.73,1.53,1.555,56205643
2019-10-01,1.51,1.51,1.22,1.315,84097100
2019-10-02,1.19,1.65,1.19,1.62,94823304
2019-10-03,1.59,1.7,1.43,1.65,53518420
