Date,Open,High,Low,Close
2016-11-04,208.91,209.89,208.38,208.52
2016-11-07,211.45,213.19,211.3,213.1
2016-11-08,212.7,214.77,212.38,214.07
2016-11-09,212.37,217.1,212.34,216.41
2016-11-10,217.32,218.31,215.22,216.87
2016-11-11,216.11,216.7,215.32,216.46
2016-11-14,217.03,217.27,215.72,216.55
2016-11-15,217.04,218.28,216.8,218.25
2016-11-16,217.56,218.14,217.42,217.93
2016-11-17,218.04,219.06,217.92,218.95
2016-11-18,219.07,219.27,218.29,218.52
2016-11-21,219.17,220.18,219,220.11
2016-11-22,220.51,220.79,219.73,220.53
2016-11-23,219.98,220.76,219.75,220.73
2016-11-25,221.1,221.5489,221.01,221.54
2016-11-28,221.17,221.6204,220.36,220.54
2016-11-29,220.52,221.44,220.17,220.89
2016-11-30,221.63,221.82,220.31,220.33
2016-12-01,220.705,220.73,219.15,219.52
2016-12-02,219.67,220.25,219.26,219.66
2016-12-05,220.65,221.4,220.42,220.92
2016-12-06,221.22,221.7441,220.662,221.69
2016-12-07,221.52,224.67,221.38,224.57
2016-12-08,224.58,225.7,224.26,225.14
2016-12-09,225.41,226.5,225.37,226.49
2016-12-12,226.4,226.96,225.76,226.22
2016-12-13,227.01,228.34,227,227.71
2016-12-14,227.41,228.23,225.365,225.92
2016-12-15,226.15,227.81,226.01,226.77
2016-12-16,226.01,226.08,224.67,225.07
2016-12-19,225.25,226.02,225.08,225.49
2016-12-20,226.15,226.57,225.88,226.37
2016-12-21,226.25,226.45,225.77,225.81
2016-12-22,225.6,225.74,224.92,225.43
2016-12-23,225.43,225.72,225.21,225.69
2016-12-27,226.02,226.73,226,226.24
2016-12-28,226.57,226.59,224.27,224.43
2016-12-29,224.48,224.89,223.84,224.37
2016-12-30,224.73,224.83,222.73,223.55
2017-01-03,225.04,225.83,223.8837,225.19
2017-01-04,225.62,226.75,225.61,226.53
2017-01-05,226.27,226.58,225.48,226.36
2017-01-06,226.53,227.75,225.9,227.24
2017-01-09,226.91,227.0701,226.4163,226.49
2017-01-10,226.48,227.45,226.01,226.43
2017-01-11,226.36,227.07,225.59,227.06
2017-01-12,226.5,226.75,224.955,226.57
2017-01-13,226.73,227.4,226.69,227.03
2017-01-17,226.31,226.78,225.8,226.29
2017-01-18,226.54,226.8,225.9,226.74
2017-01-19,226.84,227,225.41,225.95
2017-01-20,226.7,227.31,226.05,226.7
2017-01-23,226.35,226.805,225.27,226.18
2017-01-24,226.4,228.08,226.27,227.58
2017-01-25,228.7,229.57,228.51,229.49
2017-01-26,229.4,229.71,229.01,229.3
2017-01-27,229.42,229.59,228.76,228.99
2017-01-30,228.17,228.2,226.41,227.62
2017-01-31,226.98,227.6,226.32,227.56
2017-02-01,228.25,228.59,226.94,227.64
2017-02-02,227.2,228.1,226.82,227.77
2017-02-03,228.81,229.55,228.46,229.37
2017-02-06,228.87,229.326,228.54,228.97
2017-02-07,229.38,229.6556,228.72,228.97
2017-02-08,228.61,229.39,228.31,229.26
2017-02-09,229.56,230.95,229.52,230.57
2017-02-10,231.02,231.77,230.88,231.48
2017-02-13,232.08,233.07,232.05,232.73
2017-02-14,232.56,233.71,232.16,233.71
2017-02-15,233.45,235.14,233.39,234.87
2017-02-16,234.96,235.155,233.85,234.73
2017-02-17,233.95,235.07,233.93,235.06
2017-02-21,235.52,236.69,235.51,236.45
2017-02-22,236.02,236.54,235.83,236.3
2017-02-23,236.88,236.9,235.56,236.45
2017-02-24,235.46,236.7932,235.41,236.78
2017-02-27,236.63,237.31,236.35,237.13
2017-02-28,236.67,236.95,236.015,236.51
2017-03-01,238.38,240.32,238.37,239.75
2017-03-02,239.56,239.57,238.21,238.33
2017-03-03,238.17,238.61,237.73,238.48
2017-03-06,237.5,238.12,237.01,237.76
2017-03-07,237.35,237.77,236.76,237.05
2017-03-08,237.32,237.64,236.4,236.59
2017-03-09,236.68,237.24,235.74,236.82
2017-03-10,237.97,238.02,236.59,237.64
2017-03-13,237.62,237.86,237.24,237.76
2017-03-14,237.2,237.24,236.19,236.93
2017-03-15,237.56,239.44,237.29,238.89
2017-03-16,239.11,239.2,238.1,238.52
2017-03-17,237.75,237.97,237.07,237.08
2017-03-20,237.03,237.36,236.32,236.74
2017-03-21,237.47,237.61,233.58,233.78
2017-03-22,233.77,234.61,233.05,234.27
2017-03-23,233.99,235.34,233.6,234.01
2017-03-24,234.38,235.04,232.96,233.9
2017-03-27,231.93,233.92,231.61,233.58
2017-03-28,233.27,235.81,233.14,235.27
2017-03-29,235.01,235.81,234.725,235.59
2017-03-30,235.49,236.52,235.27,236.27
2017-03-31,235.905,236.51,235.68,235.71
2017-04-03,235.8,236.03,233.91,235.37
2017-04-04,235,235.58,234.555,235.51
2017-04-05,236.26,237.39,234.54,234.77
2017-04-06,234.95,236.04,234.425,235.39
2017-04-07,235.15,236,234.64,235.17
2017-04-10,235.36,236.255,234.73,235.32
2017-04-11,234.87,235.18,233.34,235.04
2017-04-12,234.74,234.96,233.77,234.1
2017-04-13,233.63,234.49,232.54,232.54
2017-04-17,233.11,234.57,232.88,234.57
2017-04-18,233.71,234.49,233.08,233.86
2017-04-19,234.52,234.95,233.18,233.47
2017-04-20,234.15,235.845,233.78,235.3
2017-04-21,235.25,235.31,234.13,234.59
2017-04-24,237.18,237.41,236.61,237.12
2017-04-25,237.91,238.95,237.81,238.53
2017-04-26,238.53,239.53,238.35,238.44
2017-04-27,238.78,238.95,237.98,238.61
2017-04-28,238.9,238.93,237.93,238.1
2017-05-01,238.69,239.17,238.195,238.65
2017-05-02,238.84,238.98,238.3,238.79
2017-05-03,238.32,238.8775,237.7,238.52
2017-05-04,238.83,238.9225,237.78,238.75
2017-05-05,239.18,239.72,238.68,239.72
2017-05-08,239.76,239.92,239.17,239.67
2017-05-09,239.96,240.19,239.04,239.46
2017-05-10,239.38,239.87,239.15,239.85
2017-05-11,239.35,239.57,238.13,239.41
2017-05-12,239.09,239.21,238.67,239.03
2017-05-15,239.47,240.44,239.45,240.245
2017-05-16,240.62,240.67,239.63,240.1
2017-05-17,238.1,238.64,235.75,235.85
2017-05-18,235.7,237.75,235.43,236.67
2017-05-19,237.33,239.08,237.27,238.3
2017-05-22,238.9,239.71,238.82,239.53
2017-05-23,239.95,240.24,239.51,240.02
2017-05-24,240.32,240.73,239.93,240.59
2017-05-25,241.2,242.08,240.96,241.71
2017-05-26,241.55,241.9,241.45,241.74
2017-05-30,241.33,241.79,241.16,241.52
2017-05-31,241.84,241.88,240.64,241.42
2017-06-01,241.96,243.34,241.64,243.32
2017-06-02,243.41,244.35,243.08,244.13
2017-06-05,243.98,244.3,243.76,243.965
2017-06-06,243.31,243.98,243.12,243.25
2017-06-07,243.6,243.92,242.83,243.65
2017-06-08,243.77,244.33,243.17,243.76
2017-06-09,244.09,245.01,241.95,243.45
2017-06-12,243.14,243.42,242.38,243.34
2017-06-13,243.99,244.61,243.5799,244.52
2017-06-14,244.86,244.87,243.29,244.26
2017-06-15,242.68,243.91,242.36,243.79
2017-06-16,242.77,242.83,241.6337,242.63
2017-06-19,243.59,244.73,243.48,244.64
2017-06-20,244.25,244.26,242.99,243.04
2017-06-21,243.43,243.59,242.41,242.95
2017-06-22,242.97,243.53,242.64,242.83
2017-06-23,242.91,243.51,242.47,243.16
2017-06-26,243.89,244.38,243.045,243.27
2017-06-27,243.04,243.38,241.31,241.36
2017-06-28,242.5,243.715,242.23,243.46
2017-06-29,243.66,243.72,239.955,241.39
2017-06-30,242.26,242.71,241.575,241.77
2017-07-03,242.91,243.38,242.29,242.32
2017-07-05,242.62,243.01,241.7,242.77
2017-07-06,241.88,242.03,240.34,240.58
2017-07-07,241.21,242.28,241.02,242.1
2017-07-10,241.95,242.8,241.76,242.36
2017-07-11,242.16,242.55,240.85,242.16
2017-07-12,243.3,244.2,243.3,243.98
2017-07-13,244.02,244.55,243.76,244.41
2017-07-14,244.42,245.97,244.31,245.54
2017-07-17,245.47,245.91,245.33,245.51
2017-07-18,245.06,245.72,244.67,245.69
2017-07-19,246.02,247,246.01,246.99
2017-07-20,247.28,247.42,246.47,247.07
2017-07-21,246.45,246.91,246.18,246.89
2017-07-24,246.79,246.98,246.28,246.81
2017-07-25,247.68,247.8,247.16,247.39
2017-07-26,247.75,247.79,247.13,247.45
2017-07-27,247.96,248,245.68,247.22
2017-07-28,246.65,247.06,246.13,246.9
2017-07-31,247.37,247.48,246.53,246.74
2017-08-01,247.46,247.5,246.716,247.309
2017-08-02,247.48,247.6,246.37,247.44
2017-08-03,247.31,247.34,246.64,246.98
2017-08-04,247.52,247.79,246.97,247.4
2017-08-07,247.49,247.87,247.37,247.85
2017-08-08,247.51,248.91,246.83,247.291
2017-08-09,246.47,247.31,246.06,247.23
2017-08-10,246.28,246.44,243.7,243.79
2017-08-11,244.02,244.8,243.75,244.11
2017-08-14,245.59,246.79,245.55,246.52
2017-08-15,246.98,247,246.16,246.53
2017-08-16,247.11,247.57,246.45,246.92
2017-08-17,246.24,246.6,243.1,243.13
2017-08-18,242.9,244.189,242.2,242.69
2017-08-21,242.64,243.2,241.83,242.93
2017-08-22,243.58,245.62,243.55,245.4
2017-08-23,244.35,245.05,244.16,244.538
2017-08-24,245,245.18,243.75,244.03
2017-08-25,244.9,245.61,244.39,244.54
2017-08-28,245.13,245.2,244.09,244.59
2017-08-29,243.11,245.15,242.93,244.85
2017-08-30,244.83,246.32,244.62,246.04
2017-08-31,246.73,247.77,246.61,247.42
2017-09-01,247.92,248.33,247.67,247.88
2017-09-05,247.24,247.52,244.95,246.1
2017-09-06,246.84,247.28,246.23,246.91
2017-09-07,247.26,247.27,246.4,246.89
2017-09-08,246.53,247.11,246.3,246.55
2017-09-11,248.04,249.3,248.02,249.17
2017-09-12,249.63,250.07,249.42,250.07
2017-09-13,249.73,250.21,249.59,250.18
2017-09-14,249.79,250.32,249.6,250.1
2017-09-15,248.69,249.29,248.57,249.25
2017-09-18,249.61,250.12,249.28,249.69
2017-09-19,250,250.07,249.6,249.97
2017-09-20,250.06,250.19,248.92,250.09
2017-09-21,249.89,249.98,249.185,249.4
2017-09-22,249.05,249.63,249.02,249.42
2017-09-25,249.14,249.5532,248.08,248.94
2017-09-26,249.42,249.7,248.805,249.05
2017-09-27,249.88,250.49,248.87,250.02
2017-09-28,249.73,250.44,249.63,250.34
2017-09-29,250.34,251.32,250.13,251.2
2017-10-02,251.49,252.3,251.2926,252.29
2017-10-03,252.46,252.89,252.23,252.85
2017-10-04,252.69,253.44,252.56,253.16
2017-10-05,253.51,254.68,253.4,254.64
2017-10-06,254.15,254.46,253.85,254.4
2017-10-09,254.63,254.7,253.65,253.96
2017-10-10,254.62,255.05,253.98,254.6
2017-10-11,254.51,255.02,254.32,255
2017-10-12,254.66,255.06,254.365,254.6
2017-10-13,255.14,255.27,254.64,254.91
2017-10-16,255.21,255.51,254.82,255.3
2017-10-17,255.24,255.52,254.98,255.46
2017-10-18,255.9,255.95,255.5,255.69
2017-10-19,254.82,255.82,254.35,255.82
2017-10-20,256.7,257.14,256.42,257.08
2017-10-23,257.48,257.51,256.02,256.15
2017-10-24,256.59,256.83,256.15,256.55
2017-10-25,256.19,256.31,254,255.3
2017-10-26,255.99,256.3,255.56,255.59
2017-10-27,256.5,257.89,256.16,257.68
2017-10-30,257.07,257.6,256.41,256.8
2017-10-31,257.18,257.44,256.805,257.11
2017-11-01,258.04,258.43,257.07,257.51
2017-11-02,257.41,257.75,256.19,257.61
