Date,Open,High,Low,Close,Volume
2018-11-13,30.85,30.9,30.28,30.34,21073692
2018-11-14,30.55,30.715,30.11,30.53,27681882
2018-11-15,30.35,30.37,29.9,30.11,31537513
2018-11-16,30.07,30.42,29.95,30.3,25182536
2018-11-19,30.34,30.695,30.21,30.34,23519839
2018-11-20,29.97,30.18,29.4,29.41,38033844
2018-11-21,29.5,30.025,29.41,29.775,26348269
2018-11-23,29.76,29.76,29.35,29.37,12107884
2018-11-26,29.65,30.15,29.64,29.95,28843744
2018-11-27,29.84,30.49,29.72,30.45,28420044
2018-11-28,30.44,32.23,30.35,30.745,28531100
2018-11-29,30.37,30.71,30.2,30.57,28394177
2018-11-30,30.71,31.43,30.57,31.23,53823640
2018-12-03,31.74,31.9,31.31,31.72,38585473
2018-12-04,31.73,32.01,30.67,30.73,37392310
2018-12-06,30.48,30.58,29.85,30.52,44723639
2018-12-07,30.22,30.88,30.01,30.14,30775742
2018-12-10,30.08,30.12,29.17,29.9,35810215
2018-12-11,30.44,30.67,29.585,29.71,39756478
2018-12-12,30.11,30.29,29.925,30.1766,32790124
2018-12-13,30.09,30.19,29.55,29.9,40902118
2018-12-14,29.83,30.4,29.7,30.24,33433409
2018-12-17,30.13,30.24,29.6,29.85,36771357
2018-12-18,29.63,30.02,29.6,29.75,36158975
2018-12-19,29.92,30.3,29.6137,29.825,45326760
2018-12-20,29.84,29.86,28.19,28.63,67401546
2018-12-21,28.34,29.24,28.14,28.3,58102354
2018-12-24,28.21,28.35,27.36,27.4001,38616231
2018-12-26,27.5,28.1,26.8,28.08,51533067
2018-12-27,27.81,28.15,27.17,28.15,47275902
2018-12-28,28.19,28.8,27.53,28.4699,42739875
2018-12-31,28.57,28.64,28.09,28.435,35220064
2019-01-02,28.5,29.59,27.64,29.54,32605856
2019-01-03,29.52,29.8065,28.04,29.595,31754018
2019-01-04,29.96,30.38,29.76,30.35,34487654
2019-01-07,30.73,31.27,28.46,30.9668,35905087
2019-01-08,31.31,31.38,28.92,31.3,38644076
2019-01-09,30.88,30.88,29.69,30.07,40125092
2019-01-10,30.05,30.48,29.82,30.405,27089224
2019-01-11,30.4,30.95,30.31,30.835,25985662
2019-01-14,30.7,30.78,30.39,30.62,18621466
2019-01-15,30.52,30.56,27.41,30.54,21462185
2019-01-16,30.53,30.75,30.35,30.555,20256016
2019-01-17,30.55,30.745,28,30.61,21892688
2019-01-18,30.82,31.03,30.52,30.91,37703278
2019-01-22,30.92,30.99,30.42,30.46,31795395
2019-01-23,30.72,30.9,30.59,30.85,20252586
2019-01-24,30.78,30.78,30.27,30.585,21297355
2019-01-25,30.68,31.035,30.66,30.665,24359898
2019-01-28,30.62,30.68,29.79,30.64,25855267
2019-01-29,30.62,30.66,30.45,30.6301,27476644
2019-01-30,29.96,30.4,29.01,29.26,74819988
2019-01-31,29.5,30.09,29.145,30.07,41160625
2019-02-01,30.21,30.36,28.2867,29.94,32681092
2019-02-04,30.03,30.03,29.56,29.585,31076501
2019-02-05,29.67,29.71,29.4647,29.625,25197667
2019-02-06,29.7,29.79,29.52,29.565,19048389
2019-02-07,29.54,29.56,28.92,29.445,34292035
2019-02-08,29.4,29.53,29.1,29.485,20597870
2019-02-11,29.58,29.84,29.46,29.725,20952798
2019-02-12,29.85,30.03,29.7346,29.745,26162318
2019-02-13,29.81,29.88,29.5,29.825,25445501
2019-02-14,29.7,30.01,29.5,29.795,23047823
2019-02-15,30.03,30.52,29.93,30.425,31490415
2019-02-19,30.46,30.68,29.54,30.62,21031627
2019-02-20,30.64,30.9429,30.46,30.85,18860947
2019-02-21,30.86,31.06,30.63,30.83,22325992
2019-02-22,30.95,31.19,30.6602,31.15,20564835
2019-02-25,31.25,31.29,31.02,31.13,18782378
2019-02-26,31.14,31.43,29.82,31.22,24590757
2019-02-27,31.23,31.27,30.78,31.06,23386233
2019-02-28,31.06,31.27,30.87,31.12,19050040
2019-03-01,31.2,31.24,30.64,30.82,27013205
2019-03-04,30.95,30.95,29.67,29.99,45638440
2019-03-05,30.02,30.05,29.8,29.95,23191033
2019-03-06,30,30.135,29.765,29.82,21423299
2019-03-07,29.86,30.07,29.8,29.91,20351075
2019-03-08,29.85,30.06,29.74,29.96,18596246
2019-03-11,29.98,30.31,29.945,30.21,22492126
2019-03-12,30.25,30.895,30.22,30.64,28778193
2019-03-13,30.65,30.72,30.21,30.29,23895375
2019-03-14,30.28,30.49,30.21,30.28,17520798
2019-03-15,30.4571,30.68,30.3,30.68,22215653
2019-03-18,30.68,30.84,30.4854,30.8,19213936
2019-03-19,30.75,30.83,30.56,30.7,19184094
2019-03-20,30.59,30.76,30.4,30.51,19198457
2019-03-21,30.45,31.15,30.45,31.08,22921897
2019-03-22,31,31.34,31,31.0767,28977467
2019-03-25,31.1,31.15,30.65,30.78,23787955
2019-03-26,30.97,31.42,30.57,31.38,22062488
2019-03-27,31.31,31.64,31.25,31.41,23021797
2019-03-28,31.42,31.5,30.87,31.02,23818912
2019-03-29,31.16,31.385,30.97,31.35,24087068
2019-04-01,31.6,31.9882,31.54,31.945,14719072
2019-04-02,31.91,31.95,31.44,31.635,29757914
2019-04-03,31.7968,31.96,31.64,31.86,26320435
2019-04-04,31.95,32.13,31.92,31.98,25963599
2019-04-05,32.07,32.36,31.92,32.35,32965465
2019-04-08,32.45,32.515,32.19,32.39,34640361
2019-04-09,31.85,31.89,31.54,31.76,23960452
2019-04-10,31.75,32.04,31.74,31.88,17857917
2019-04-11,31.92,32.25,31.88,32.21,22840301
2019-04-12,32.3,32.32,31.96,32.2,20388495
2019-04-15,32.21,32.25,31.94,32.01,16458352
2019-04-16,32.12,32.25,31.94,32.245,19187754
2019-04-17,32.08,32.2,31.95,31.95,19138305
2019-04-18,31.95,32.1,30.52,32.04,20672483
2019-04-22,32.02,32.18,31.9199,32.08,18435633
2019-04-23,32.06,32.28,31.88,32.11,26707424
2019-04-24,31.07,31.59,30.52,30.79,64541437
2019-04-25,30.635,30.65,30.05,30.33,40032242
2019-04-26,30.47,30.96,30.28,30.68,27792738
2019-04-29,30.91,31.305,30.58,30.89,29215646
2019-04-30,30.94,31.135,30.76,30.95,28600054
2019-05-01,31.05,31.21,30.78,30.79,24506834
2019-05-02,30.96,31.01,30.59,30.6265,26554980
2019-05-03,30.66,30.79,30.57,30.6816,24755493
2019-05-06,30.46,30.64,30.38,30.595,20121291
2019-05-07,30.52,30.59,30.28,30.515,22060531
2019-05-08,30.39,30.5,30.17,30.31,21553747
2019-05-09,30.27,30.45,30.125,30.37,24443878
2019-05-10,30.25,30.72,30.16,30.64,19902933
2019-05-13,30.35,30.65,30.34,30.47,25020372
2019-05-14,30.7,31.38,30.62,31.1,34439954
2019-05-15,31.04,31.3,30.89,31.28,20379743
2019-05-16,31.3525,31.875,31.175,31.63,19537922
2019-05-17,31.41,31.995,31.38,31.795,28054156
2019-05-20,32.28,33.08,31.96,32.19,48951952
2019-05-21,32.24,32.64,32.09,32.42,19846797
2019-05-22,32.24,32.45,30.52,32.28,16615750
2019-05-23,32.18,32.32,31.93,32.14,19497438
2019-05-24,32.32,32.35,32.1,32.29,13429025
2019-05-28,32.33,32.4185,31.91,31.91,17590979
2019-05-29,31.91,32.21,31.69,31.89,23122527
2019-05-30,31.96,32.07,31.64,31.8658,21578240
2019-05-31,31.06,31.16,30.38,30.585,42011760
2019-06-03,30.72,31.35,30.675,31.08,29645819
2019-06-04,31.39,31.5,30.5147,31.4735,24993121
2019-06-05,31.62,31.71,30.34,31.68,16947026
2019-06-06,31.8,32.175,31.08,32.11,20561357
2019-06-07,32.17,32.7,32.14,32.48,28113190
2019-06-10,32.69,33,31.08,31.91,27257419
2019-06-11,32.06,32.44,32.03,32.11,16938186
2019-06-12,32.11,32.31,32.03,32.18,15576728
2019-06-13,32.22,32.33,32.12,32.3,13368883
2019-06-14,32.34,32.44,30.6538,32.35,15521401
2019-06-17,32.25,32.39,32.17,32.3,13568616
2019-06-18,32.44,32.7,29.915,32.44,17868117
2019-06-19,32.54,32.59,31.35,32.4,15914458
2019-06-20,32.58,32.605,32.31,32.54,20981012
2019-06-21,32.69,32.7,32.42,32.47,23270258
2019-06-24,32.49,32.69,32.46,32.59,14933151
2019-06-25,32.6,32.6,32.45,32.55,15041535
2019-06-26,32.59,32.79,32.52,32.54,19972548
2019-06-27,32.76,33.03,32.56,32.98,23819687
2019-06-28,33.0613,33.55,32.92,33.49,25395673
2019-07-01,33.81,33.9,33.4,33.44,25813239
2019-07-02,33.47,33.87,33.37,33.85,22262583
2019-07-03,33.96,34.04,33.865,33.973,16561198
2019-07-05,33.98,34.37,33.94,34.3025,20430863
2019-07-08,34.13,34.36,34.07,34.26,27012468
2019-07-09,33.59,33.66,33.4,33.54,26647920
2019-07-10,33.74,33.84,33.62,33.76,17451369
2019-07-11,33.99,34.02,33.26,33.46,24064025
2019-07-12,33.53,33.66,33.385,33.65,17175300
2019-07-15,33.66,33.7356,33.57,33.7,12860671
2019-07-16,33.68,33.72,33.51,33.57,15253761
2019-07-17,33.56,33.58,33.25,33.26,15808424
2019-07-18,33.19,33.2,32.84,33.09,23821418
2019-07-19,33.23,33.27,32.77,32.78,24036106
2019-07-22,32.75,32.75,32.07,32.14,30151277
2019-07-23,32.15,32.16,31.515,32.09,37984807
2019-07-24,32.18,33.39,32.18,33.24,40142512
2019-07-25,33.58,33.99,33.45,33.81,33248671
2019-07-26,33.74,34.23,33.59,34.16,27778907
2019-07-29,34.07,34.445,33.94,34.34,26800491
2019-07-30,34.44,34.64,34.075,34.17,26508542
2019-07-31,34.05,34.48,33.89,34.06,31952460
2019-08-01,34.48,34.6,34.015,34.12,35630059
2019-08-02,33.8,34.34,33.54,34.17,25171744
2019-08-05,33.7,33.94,33.19,33.49,28986410
2019-08-06,33.51,33.97,33.29,33.96,25210343
2019-08-07,33.6,34.16,33.36,34.07,26709103
2019-08-08,34.25,34.54,34.07,34.54,22200073
2019-08-09,34.43,34.59,34.15,34.54,17872502
2019-08-12,34.47,34.575,34.27,34.47,17147313
2019-08-13,34.37,34.96,34.37,34.855,25293772
2019-08-14,34.6,34.63,34.021,34.0762,26064382
2019-08-15,34.24,34.4642,33.9635,34.34,21193903
2019-08-16,34.48,35,34.405,34.98,23358812
2019-08-19,35.01,35.435,34.99,35.39,23684157
2019-08-20,35.29,35.3,34.9,35.01,18494799
2019-08-21,35.19,35.25,34.97,35.15,17965200
2019-08-22,35.24,35.5,35.075,35.385,17767052
2019-08-23,35.3,35.44,34.64,34.83,24857234
2019-08-26,34.97,35.14,34.71,34.955,18332331
2019-08-27,35.01,35.04,34.63,34.6908,26334302
2019-08-28,34.67,34.98,34.535,34.96,18705603
2019-08-29,35.11,35.33,35.05,35.14,20365560
2019-08-30,35.18,35.35,35.07,35.22,15870639
2019-09-03,35.08,35.39,34.915,35.38,16242430
2019-09-04,35.53,35.82,35.44,35.72,17604413
2019-09-05,35.9,35.98,35.75,35.88,18665440
2019-09-06,35.95,36.37,35.91,36.25,24001520
2019-09-09,37.82,38.14,36.71,36.77,88555289
2019-09-10,37.205,37.72,36.97,37.57,38764058
2019-09-11,37.93,38.75,37.71,38.73,48902392
2019-09-12,38.37,38.48,37.73,38.37,32586223
2019-09-13,38.01,38.345,37.735,37.9,25667538
2019-09-16,37.7,37.83,37.1138,37.33,27126735
2019-09-17,37.04,37.25,36.79,37.15,25932161
2019-09-18,36.76,36.975,36.49,36.77,28263451
2019-09-19,37.03,37.22,36.8,37.14,21769081
2019-09-20,37.3,38.01,37.18,37.92,48696646
