Date,Open,High,Low,Close,Volume
2019-08-12,232.99,235.77,228.75,229.02,4435506
2019-08-13,228.81,236,227.55,234.97,4659970
2019-08-14,231.21,231.5,216.69,219.59,8733756
2019-08-15,220.86,221.56,211.55,215.52,7836075
2019-08-16,216.75,222.24,216.02,219.92,4820433
2019-08-19,224.21,227.83,221.7,226.81,5067001
2019-08-20,227.62,229.09,224.54,225.65,3763018
2019-08-21,222.01,223.22,217.6,220.79,7253565
2019-08-22,222.8,225.4,218.22,222.05,5473992
2019-08-23,219.97,221.17,211,211.39,8015679
2019-08-26,213.6,215.02,211.54,214.98,4696205
2019-08-27,215.74,218.8,212.03,214.16,4999917
2019-08-28,213.69,217.25,212.31,215.59,3093685
2019-08-29,218.95,223.4,218,221.7,4868685
2019-08-30,229.15,232.44,224.213,225.6,8258412
2019-09-03,224.08,228.95,223.16,225.11,5080361
2019-09-04,226.89,228.46,219.205,220.71,5480727
2019-09-05,222.5,229.8,220.85,229.48,7033497
2019-09-06,227.85,229.64,225.17,227.49,4102982
2019-09-09,229.97,233.76,229.23,231.78,4488219
2019-09-10,230.8,235.54,228.94,235.54,4654579
2019-09-11,237.38,248.1741,236,247.23,9601813
2019-09-12,247.7,253.5,244.4,245.86,8110680
2019-09-13,246.96,248.45,244.865,245.27,5075640
2019-09-16,246,247.43,241.17,242.7,4459981
2019-09-17,242.47,245.6,240.37,244.79,3690146
2019-09-18,245.2,248.1685,242.37,243.43,3888163
2019-09-19,246,247.94,244.84,246.58,4469294
2019-09-20,246.49,246.946,238.16,240.59,5996334
2019-09-23,240,245.1794,239.22,241.25,4126179
2019-09-24,241.52,241.99,222.61,223.2817,12357206
2019-09-25,224.15,228.98,218.36,228.7,8768326
2019-09-26,230.66,243.31,227.4,242.52,11445264
2019-09-27,242,248.71,238.73,242.13,10663930
2019-09-30,243,243.98,236.1111,240.84,5556374
2019-10-01,241.5,245.95,239.13,244.69,5858450
2019-10-02,243.03,244.65,239.43,243.24,5073430
2019-10-03,231.86,234.48,224.28,232.92,14178202
2019-10-04,231.61,234.77,228.07,231.4159,15272408
2019-10-07,229.8,238.56,228.55,237.72,15309905
2019-10-08,235.87,243.94,234.5,240,16599013
2019-10-09,241.52,247.295,240.65,244.53,13116148
2019-10-10,245.28,249.28,241.58,244.74,11989953
2019-10-11,247.15,251.08,246.81,247.77,15990158
2019-10-14,247.9,258.55,247.13,256.92,19563177
2019-10-15,257.7,260,254.12,257.86,12362512
2019-10-16,257.39,262.1,256.92,259.6902,12800343
2019-10-17,262.5,264.78,260.17,261.98,9112414
2019-10-18,260.7,262.8,255.1,256.9899,11065826
2019-10-21,258.2,259.5,250.18,253.43,4429730
2019-10-22,254.32,258.33,250.85,255.52,4386182
2019-10-23,254.5,256.14,251.35,254.889,5005641
2019-10-24,298.37,304.93,289.2,299.62,26837584
2019-10-25,297.72,330,296.11,328.19,28673217
2019-10-28,327.54,340.84,322.6,327.51,18510525
2019-10-29,319.99,324.3,314.75,316.2,12356755
2019-10-30,313,318.79,309.97,314.86,9042272
2019-10-31,313.1,319,313,315.09,4855250
2019-11-01,316.32,316.48,309.8,313.21,6178310
2019-11-04,314.8,321.94,309.26,317.425,8579754
2019-11-05,319.62,323.51,316.118,317.16,6308975
2019-11-06,318,326.72,314.5,326.7,7748529
2019-11-07,329.14,341.5,328.02,335.39,14148570
2019-11-08,334.5,337.46,332.5,337.12,5966814
2019-11-11,343.8,349.19,342,345.1,9715763
2019-11-12,346.94,350.37,344.04,349.95,7177557
2019-11-13,355,356.33,345.18,345.99,8029488
2019-11-14,346.11,353.84,342.91,349.36,5966623
2019-11-15,350.64,352.8,348.36,352.24,4591478
2019-11-18,352.9165,353.15,346.1,349.98,4287780
2019-11-19,351.75,359.99,347.8,359.52,7442184
2019-11-20,360,361.2,349.57,352.4,6143861
2019-11-21,354.51,360.84,354.0039,354.9697,5644325
2019-11-22,337.154,337.9,330,332.99,15159229
2019-11-25,344.47,344.57,334.46,336.3009,11454970
2019-11-26,335.27,335.5,327.1,328.93,7396718
2019-11-27,331.12,333.93,328.57,331.05,5240194
2019-11-29,331.11,331.26,327.5,330.04,2343582
2019-12-02,328.937,336.3827,328.687,334.86,5787602
2019-12-03,332.62,337.91,332.186,336.08,6380944
2019-12-04,337.75,337.86,332.85,332.99,5249592
2019-12-05,333,334.4227,327.25,330.34,3453427
2019-12-06,335,338.86,334.77,335.85,7446599
2019-12-09,336.59,344.45,335.08,339.4,8270305
2019-12-10,339.96,350.73,339.31,348.83,8530007
2019-12-11,351.8765,357.1899,351.09,352.5,6649961
2019-12-12,354.92,362.74,353.23,359.67,7650921
2019-12-13,361.05,365.21,354.64,358.37,6236035
2019-12-16,362.55,383.61,362.5,381.51,17336420
2019-12-17,378.77,385.5,375.9,378.9101,8043941
2019-12-18,380.73,395.22,380.58,393.1,13505487
2019-12-19,397.09,406.85,396.5,404.02,16955930
2019-12-20,410.29,413,400.185,405.55,13344703
2019-12-23,411.78,422.01,410.27,419.18,12621840
2019-12-24,418.84,425.47,412.6875,425.18,7833308
2019-12-26,427.91,433.48,426.35,430.8202,10131052
2019-12-27,435.25,435.31,426.11,430.23,9209880
2019-12-30,428.81,429,409.2589,414.62,12082466
2019-12-31,405.0003,421.29,402.08,418.17,9761539
2020-01-02,424.95,430.6957,421.71,430.24,9113793
2020-01-03,440.5,454,436.92,442.75,16409329
2020-01-06,440.47,451.56,440,451.4001,9807049
2020-01-07,461.4,471.63,453.355,469.17,17164802
2020-01-08,473.7,498.49,468.23,492.09,29492388
2020-01-09,497.1,498.8,472.87,481.49,26229707
2020-01-10,481.79,484.94,473.7,477.96,12193711
2020-01-13,497.12,525.63,493.79,524.85,24491189
2020-01-14,544.255,547.41,524.9,538,27042937
2020-01-15,529.76,537.84,516.7853,518.505,16321712
2020-01-16,494.08,514.46,492.17,513.49,20068904
2020-01-17,507.61,515.6699,503.16,510.19,12682509
2020-01-21,530.23,548.58,528.41,547.3007,33002168
2020-01-22,571.51,594.5,559.1,569.43,59686356
2020-01-23,564.08,582,555.6027,571.9422,37423500
2020-01-24,570.63,573.86,554.26,564.96,27306834
2020-01-27,541.99,564.44,539.28,557.54,12432990
2020-01-28,568.44,576.81,558.08,566.82,11093082
2020-01-29,575.69,589.7999,567.43,581,13291305
2020-01-30,632.42,650.88,618,640.93,26713917
2020-01-31,638.68,653,632.52,650.48,15067058
2020-02-03,673.69,786.14,673.52,780.28,45229406
2020-02-04,882.96,968.9899,833.88,887.72,53837004
2020-02-05,822.8,845.98,704.1106,734.72,45999453
2020-02-06,699.92,795.83,687,748.5,38382071
2020-02-07,731,769.75,730,747.9808,15897263
2020-02-10,800.41,819.99,752.4,770.8467,23238209
2020-02-11,768.5,783.5061,758,774.02,11177954
2020-02-12,778,789.75,763.37,767.44,11193209
2020-02-13,741.84,818,735,803.86,24953651
2020-02-14,787.22,812.97,785.5,799.9724,14271351
2020-02-18,841.6,860,832.36,858.66,14593786
2020-02-19,923.5,944.78,901.02,916.96,23686175
2020-02-20,911.81,912,859.94,899.18,16563806
2020-02-21,906.74,907.9699,880.45,901,13084493
2020-02-24,839,863.5,822.2,833.16,14109712
2020-02-25,849.18,856.6,787,799.11,16703593
2020-02-26,783,813.31,776.11,778.8,13266973
2020-02-27,730,739.77,669,678.85,22838989
2020-02-28,629.7,690.52,611.52,667.43,23087454
2020-03-02,711.26,743.69,686.67,743.69,18641901
2020-03-03,805.5,806.98,716.1106,745.51,23727404
2020-03-04,763.9603,766.52,724.7345,749.5,13975877
2020-03-05,723.5,745.75,718.07,723.62,10164674
2020-03-06,693,707,684.27,703.39,23777510
2020-03-09,605.39,662.998,605,606.46,15774368
2020-03-10,659.43,668,608,645,14714548
2020-03-11,640.2,653.58,613,633.905,12845088
2020-03-12,580,594.5,546.25,556.01,17650406
2020-03-13,595,607.57,502,546.2,21281778
2020-03-16,469.4997,494.8699,442.17,444.9801,38445545
2020-03-17,440.01,471.85,396,430,23150951
2020-03-18,389,404.86,350.51,361.6,39991154
2020-03-19,374.6965,452,358.46,427.295,28716890
2020-03-20,438.2,477,425.79,427.53,27182628
2020-03-23,433.55,441.9999,410.5,434.29,15611610
2020-03-24,476.3,513.69,474,504.3,21685259
2020-03-25,545.25,557,511.11,539.175,19706795
2020-03-26,547.39,560,512.25,528.05,16688863
2020-03-27,505,525.8,494.03,514.56,13608376
2020-03-30,510.26,516.6471,491.23,502.1,11162231
2020-03-31,501.25,542.96,497,524.48,16421035
2020-04-01,504,513.9548,475.1,481.58,12570750
2020-04-02,481.03,494.2599,446.4,454.47,15413671
2020-04-03,509.5,515.49,468.3901,480,21274333
2020-04-06,511.16,521,497.96,516.24,27631958
2020-04-07,545,565,532.34,545.47,17334969
2020-04-08,555.75,557.05,533.33,548.7,23557730
2020-04-09,562.09,575.1818,557.11,573.01,12745268
2020-04-13,591,652,580.53,650.9899,21175579
2020-04-14,698.97,741.88,692.43,709.755,57451900
2020-04-15,742,753.13,710,729.5254,43359242
2020-04-16,716.94,759.45,706.715,745.6545,57474573
2020-04-17,772.28,774.95,747.66,753.65,24322747
2020-04-20,732.7,765.57,712.21,746.35,28421310
2020-04-21,730.12,753.33,673.79,686.72,58529442
2020-04-22,703.98,731.6,688.71,731.0656,37901725
2020-04-23,727.6,734,703.13,705.63,38120713
2020-04-24,710.81,730.73,698.18,725,24775239
2020-04-27,737.61,799.49,735,798.92,58450139
2020-04-28,795.64,805,756.69,769.11,14526538
2020-04-29,790.17,803.1999,783.16,799.84,12096180
2020-04-30,855.19,869.82,763.5,781.06,53718332
2020-05-01,755,772.77,683.04,701.31,31742479
2020-05-04,701,762,698,761.21,36511504
2020-05-05,789.79,798.92,762.18,768.06,16328797
2020-05-06,776.5,789.8,761.11,782.45,21416699
2020-05-07,777.21,796.4,772.35,780.215,11124597
2020-05-08,793.77,824,787.01,819.25,31166079
2020-05-11,790.51,824,785,810.48,31241342
2020-05-12,827,843.29,808,809.21,15080918
2020-05-13,820.83,826,763.3,790.62,18430885
2020-05-14,780,803.36,764,803.04,13077331
2020-05-15,790.35,805.0486,786.552,799.034,20204818
2020-05-18,827.78,834.7201,803.88,813.51,10969747
2020-05-19,815.17,822.07,806.08,808,9331427
2020-05-20,820.5,826,811.8,815.46,13799592
2020-05-21,816,832.5,796,827.75,23543511
2020-05-22,822.1735,831.78,812,816.4,19439642
2020-05-26,834.5,834.6,815.705,818.74,7532731
2020-05-27,820.86,827.71,785,819.955,11092116
2020-05-28,813.51,824.75,801.69,805.975,7013890
2020-05-29,808.75,835,804.21,834.1905,10523947
2020-06-01,858,899,854.1,897.875,13962296
2020-06-02,894.7,908.66,871,881.4,13049927
2020-06-03,888.12,897.94,880.1,882.51,15342518
2020-06-04,889.88,895.75,858.44,864.27,8667226
2020-06-05,877.84,886.52,866.2,885.335,7366347
2020-06-08,919,950,909.16,948.45,26318875
2020-06-09,940.01,954.4399,923.931,941.5524,21496458
2020-06-10,991.88,1027.48,982.5,1024.974,17023324
2020-06-11,990.2,1018.9599,972.11,972.41,29440376
2020-06-12,980,987.98,936.25,936.25,5885153
2020-06-15,917.79,998.84,908.5,990.75,14933856
2020-06-16,1011.85,1012.88,962.39,981.51,26814330
2020-06-17,987.71,1005,982.571,990.56,9026154
2020-06-18,1003,1019.2,994.4708,1004.02,18626163
2020-06-19,1012.78,1015.9699,991.34,1000.57,7941809
2020-06-22,999.95,1008.88,990.02,994.54,6089342
2020-06-23,998.88,1012,994.0101,1001.66,6015204
2020-06-24,994.11,1000.8846,953.1414,960.85,10724665
2020-06-25,954.27,985.98,937.15,985.98,8834648
2020-06-26,994.78,995,954.87,960.76,7809297
2020-06-29,969.01,1010,948.5201,1009.89,8732336
2020-06-30,1006.5,1087.69,1003.73,1079,16212153
2020-07-01,1083,1135.33,1080.5,1119.54,12887738
2020-07-02,1221.48,1228,1185.6,1208.8,15501212
2020-07-06,1276.69,1377.79,1266.044,1371,18885360
2020-07-07,1405.01,1429.5,1336.71,1389.69,20456393
2020-07-08,1405,1417.26,1311.34,1365.8054,15747236
2020-07-09,1396.99,1408.56,1351.28,1393.81,11159292
2020-07-10,1396,1548.915,1376.0101,1546.01,22730537
2020-07-13,1659,1794.99,1471.1101,1494.1,37309610
2020-07-14,1556,1590,1431,1516.385,21744713
2020-07-15,1543,1550,1457,1546.875,15414147
2020-07-16,1477.16,1531.71,1466,1500.82,13562574
2020-07-17,1513.45,1537.51,1490,1500.45,8970942
2020-07-20,1519.01,1650,1488,1642.47,16510673
2020-07-21,1639.93,1675,1558,1567.58,15315602
2020-07-22,1599,1626.42,1562,1590.58,11174728
2020-07-23,1678.95,1689,1480.77,1513.68,23377197
2020-07-24,1382.28,1465,1372.503,1415.56,14918249
2020-07-27,1435,1547.94,1413.0002,1539.91,15007344
2020-07-28,1504,1564.7,1474.42,1475.35,15334982
2020-07-29,1501,1534.81,1487,1499.99,9158146
2020-07-30,1488,1513.24,1471,1487.42,7337598
2020-07-31,1515,1517.05,1420.98,1432,11823653
2020-08-03,1449.2,1509.81,1444.3844,1484.98,8547833
2020-08-04,1495.01,1527.41,1462,1486.25,8233969
2020-08-05,1492.99,1499.8384,1468.31,1485.18,4833625
2020-08-06,1490.83,1517.31,1477.26,1489.69,5822244
2020-08-07,1499.5365,1499.75,1415.01,1453.1,8707648
2020-08-10,1448,1457.5,1385.84,1419,7330526
2020-08-11,1396,1420,1368,1374,6978037
2020-08-12,1470,1585,1435,1554.423,21016580
2020-08-13,1611,1651.18,1567.26,1620.71,19063440
2020-08-14,1664.99,1668.8,1626.64,1651.5,11738513
2020-08-17,1677,1845.86,1672.83,1835.86,19482112
2020-08-18,1898.99,1923.9,1845.11,1888.11,15300121
2020-08-19,1865,1911,1841.21,1879,11776286
2020-08-20,1860.68,2021.99,1857.06,2001.3,20432043
2020-08-21,2044.76,2095.49,2025.05,2050,20572968
2020-08-24,2017.99,2062.49,1965,2015.695,12452145
2020-08-25,1974.89,2027.95,1968,2024.09,10064998
2020-08-26,2060,2166,2053.6292,2151.93,13768358
2020-08-27,2180.46,2295.6,2142.5,2239.76,22975743
2020-08-28,2295.12,2318.49,2186.52,2213.52,19372046
2020-08-31,444.61,500.14,440.11,498.51,111197923
2020-09-01,502.14,502.49,470.51,475.04,81257715
2020-09-02,478.99,479.04,405.1206,447.245,92367647
2020-09-03,407.23,431.8,402,407,80478522
2020-09-04,402.81,428,372.0201,417.9307,101195492
2020-09-08,356,368.74,329.88,330.02,103446741
2020-09-09,356.6,369,341.51,366.21,73161075
2020-09-10,382.4,398.99,360.56,370.5,69988917
2020-09-11,381.94,382.5,360.5,372.4101,58016059
2020-09-14,380.95,420,373.3,419.765,78741916
2020-09-15,436.56,461.94,430.7,449.38,93194161
2020-09-16,439.87,457.79,435.31,441.76,68279651
2020-09-17,415.6,437.79,408.0001,423.43,72114062
2020-09-18,447.94,451,428.8,440.9701,79958470
2020-09-21,453.13,455.68,407.07,449.41,100472833
2020-09-22,429.6,437.76,417.6001,423.974,66119366
2020-09-23,405.16,412.15,375.8801,380.3885,88358954
2020-09-24,363.8,399.5,351.3,387.63,93527446
2020-09-25,393.47,408.7323,391.3,407.18,64600754
2020-09-28,424.62,428.08,415.55,421.0602,46468845
2020-09-29,416,428.5,411.6,418.99,47891547
2020-09-30,421.32,433.93,420.47,428.97,45355318
2020-10-01,440.76,448.88,434.42,447.81,46783928
2020-10-02,421.39,439.13,415,415.2699,63810817
2020-10-05,423.35,433.64,419.33,425.5,42042374
2020-10-06,423.79,428.7799,406.05,413.7001,46076914
2020-10-07,419.87,429.9,413.845,425.19,40832057
2020-10-08,438.44,439,425.3,425.92,38141608
2020-10-09,430.13,434.5899,426.4601,433.96,27687361
2020-10-12,442,448.74,438.58,442,36564876
2020-10-13,442.2687,448.89,436.6,446.65,31940408
2020-10-14,449.78,465.9,447.35,461.47,45105903
2020-10-15,450.3,456.57,442.5,448.88,33240296
2020-10-16,454.48,455.9499,438.85,439.91,30682837
