Date,Open,High,Low,Close
2016-11-17,18.7,18.9601,18.53,18.55
2016-11-18,18.72,18.91,18.64,18.73
2016-11-21,18.72,18.91,18.59,18.61
2016-11-22,18.66,18.87,18.51,18.631
2016-11-23,18.45,18.59,18.08,18.23
2016-11-25,18.25,18.31,18.03,18.07
2016-11-28,18,18.3,17.85,18.3
2016-11-29,18.22,18.6801,18.13,18.2
2016-11-30,18.2,18.8,18.18,18.49
2016-12-01,18.84,18.84,17.735,18.02
2016-12-02,18,18.16,17.86,17.9399
2016-12-05,17.96,18.36,17.87,18.23
2016-12-06,18.31,18.5,18.1307,18.23
2016-12-07,18.27,19.55,18.2,19.48
2016-12-08,19.5,19.71,19.08,19.65
2016-12-09,19.56,19.84,19.3832,19.64
2016-12-12,19.48,19.7,18.9,18.93
2016-12-13,18.97,19.59,18.94,19.35
2016-12-14,19.41,19.62,18.89,18.93
2016-12-15,18.94,19.15,18.71,18.79
2016-12-16,18.76,18.89,18.53,18.6299
2016-12-19,18.6,18.7,18.22,18.24
2016-12-20,18.23,18.3218,17.87,17.91
2016-12-21,17.52,17.55,17.01,17.0761
2016-12-22,16.82,16.89,16.27,16.4
2016-12-23,16.33,16.6734,16.16,16.495
2016-12-27,16.52,16.87,16.42,16.605
2016-12-28,16.63,16.7332,16.2914,16.38
2016-12-29,16.39,16.65,16.3,16.39
2016-12-30,16.31,16.5701,16.22,16.29
2017-01-03,16.31,16.45,16.21,16.43
2017-01-04,16.5,16.94,16.5,16.86
2017-01-05,16.91,17.27,16.8,17.1
2017-01-06,17.24,17.43,17.11,17.175
2017-01-09,17.22,17.555,17.19,17.51
2017-01-10,17.54,17.78,17.32,17.365
2017-01-11,17.46,17.6,17.17,17.29
2017-01-12,17.13,17.39,16.96,17.37
2017-01-13,17.38,17.66,17.23,17.24
2017-01-17,17.07,17.09,16.86,16.955
2017-01-18,17.01,17.14,16.83,17.1151
2017-01-19,17.09,17.15,16.75,16.795
2017-01-20,16.83,16.9,16.46,16.58
2017-01-23,16.57,16.81,16.46,16.6
2017-01-24,16.61,16.6579,16.33,16.51
2017-01-25,16.7,16.79,16.59,16.73
2017-01-26,16.86,17.07,16.79,16.8128
2017-01-27,16.91,16.97,16.53,16.57
2017-01-30,16.57,17.1,16.41,16.94
2017-01-31,16.95,17.74,16.95,17.615
2017-02-01,17.84,17.92,17.1,17.23
2017-02-02,17.33,17.86,17.12,17.78
2017-02-03,17.72,17.85,17.44,17.61
2017-02-06,17.7,17.97,17.41,17.945
2017-02-07,18,18.67,17.99,18.25
2017-02-08,18.77,18.77,18.045,18.71
2017-02-09,17.05,17.12,16.26,16.4001
2017-02-10,15.96,16,15.5,15.5749
2017-02-13,15.63,15.99,15.51,15.81
2017-02-14,15.92,16.6,15.85,16.5122
