Date,Open,High,Low,Close
2020-10-13,18.32,18.38,18.32,18.37
2020-10-13,18.37,18.4,18.36,18.4
2020-10-13,18.39,18.41,18.37,18.4
2020-10-13,18.41,18.41,18.41,18.41
2020-10-13,18.44,18.44,18.4,18.4
2020-10-13,18.41,18.45,18.4,18.45
2020-10-13,18.45,18.46,18.4,18.4
2020-10-13,18.41,18.41,18.35,18.35
2020-10-13,18.35,18.37,18.35,18.37
2020-10-13,18.35,18.35,18.34,18.34
2020-10-13,18.34,18.34,18.34,18.34
2020-10-13,18.34,18.36,18.34,18.36
2020-10-13,18.36,18.38,18.36,18.36
2020-10-13,18.36,18.36,18.36,18.36
2020-10-13,18.35,18.35,18.35,18.35
2020-10-13,18.34,18.35,18.34,18.35
2020-10-13,18.31,18.31,18.31,18.31
2020-10-13,18.32,18.32,18.32,18.32
2020-10-13,18.27,18.27,18.27,18.27
2020-10-13,18.28,18.3,18.28,18.3
2020-10-13,18.28,18.28,18.28,18.28
2020-10-13,18.27,18.27,18.27,18.27
2020-10-13,18.28,18.28,18.27,18.27
2020-10-13,18.27,18.27,18.27,18.27
2020-10-13,18.27,18.28,18.27,18.27
2020-10-13,18.26,18.26,18.26,18.26
2020-10-13,18.29,18.3,18.29,18.3
2020-10-13,18.29,18.29,18.29,18.29
2020-10-13,18.3,18.38,18.3,18.38
2020-10-13,18.39,18.39,18.39,18.39
2020-10-13,18.44,18.44,18.44,18.44
2020-10-13,18.45,18.48,18.45,18.48
2020-10-13,18.47,18.47,18.45,18.45
2020-10-13,18.44,18.44,18.31,18.32
2020-10-13,18.32,18.35,18.3,18.35
2020-10-13,18.37,18.38,18.35,18.38
2020-10-13,18.42,18.42,18.41,18.41
2020-10-13,18.39,18.39,18.37,18.37
2020-10-13,18.37,18.37,18.35,18.35
2020-10-13,18.37,18.37,18.37,18.37
2020-10-13,18.39,18.39,18.39,18.39
2020-10-13,18.39,18.39,18.39,18.39
2020-10-13,18.39,18.39,18.39,18.39
2020-10-13,18.37,18.37,18.36,18.36
2020-10-13,18.35,18.37,18.31,18.37
2020-10-13,18.38,18.38,18.36,18.36
2020-10-13,18.34,18.34,18.34,18.34
2020-10-13,18.31,18.33,18.3,18.3
2020-10-13,18.29,18.29,18.25,18.25
2020-10-13,18.26,18.26,18.26,18.26
2020-10-13,18.22,18.22,18.22,18.22
2020-10-13,18.22,18.22,18.22,18.22
2020-10-13,18.25,18.25,18.24,18.24
2020-10-13,18.24,18.26,18.24,18.26
2020-10-13,18.24,18.24,18.18,18.18
2020-10-13,18.18,18.21,18.18,18.21
2020-10-13,18.21,18.21,18.2,18.21
2020-10-13,18.19,18.2,18.19,18.2
2020-10-13,18.2,18.2,18.2,18.2
2020-10-13,18.21,18.21,18.21,18.21
2020-10-13,18.22,18.22,18.22,18.22
2020-10-13,18.21,18.21,18.2,18.2
2020-10-13,18.21,18.22,18.21,18.22
2020-10-13,18.22,18.22,18.22,18.22
2020-10-13,18.2,18.2,18.18,18.18
2020-10-13,18.18,18.18,18.18,18.18
2020-10-13,18.15,18.15,18.15,18.15
2020-10-13,18.18,18.18,18.15,18.15
2020-10-13,18.14,18.14,18.14,18.14
2020-10-13,18.1,18.13,18.1,18.13
2020-10-13,18.13,18.13,18.13,18.13
2020-10-13,18.12,18.12,18.11,18.12
2020-10-13,18.14,18.15,18.14,18.14
2020-10-13,18.16,18.17,18.15,18.15
2020-10-13,18.13,18.13,18.12,18.12
2020-10-13,18.1,18.1,18.09,18.1
2020-10-13,18.11,18.11,18.09,18.09
2020-10-13,18.09,18.1,18.09,18.1
2020-10-13,18.11,18.11,18.08,18.08
2020-10-13,18.09,18.09,18.09,18.09
2020-10-13,18.11,18.11,18.11,18.11
2020-10-13,18.08,18.08,18.07,18.08
2020-10-13,18.08,18.09,18.08,18.09
2020-10-13,18.09,18.09,18.07,18.09
2020-10-13,18.09,18.09,18.09,18.09
2020-10-13,18.09,18.09,18.06,18.06
2020-10-13,18.04,18.05,18.04,18.05
2020-10-13,18.03,18.04,18.03,18.04
2020-10-13,18.03,18.03,18.02,18.02
2020-10-13,18.03,18.07,18.03,18.07
2020-10-13,18.07,18.09,18.07,18.08
2020-10-13,18.06,18.06,18.01,18.02
2020-10-13,18.03,18.03,18.02,18.02
2020-10-13,18.03,18.03,18.015,18.02
2020-10-13,18.02,18.04,18.02,18.04
2020-10-13,18.04,18.07,18.03,18.03
2020-10-13,18.03,18.05,18.03,18.05
2020-10-13,18.035,18.06,18.03,18.059
2020-10-13,18.05,18.07,18.05,18.06
2020-10-13,18.06,18.08,18.06,18.08
2020-10-13,18.04,18.06,18.04,18.06
