Date,Close,High,Low,Volume,MFI
2018-11-19,0.8,0.83,0.75,39334,
2018-11-20,0.75,0.81,0.75,8954,
2018-11-21,0.8,0.8,0.78,29115,
2018-11-23,0.8,0.8,0.76,10279,
2018-11-26,0.79,0.825,0.7403,50451,
2018-11-27,0.83,0.8401,0.77,82020,
2018-11-28,0.8,0.85,0.8,45100,
2018-11-29,0.8,0.8001,0.78,59551,
2018-11-30,0.78,0.8,0.78,31496,
2018-12-03,0.7901,0.83,0.7809999999999999,35388,
2018-12-04,0.76,0.8,0.71,88352,
2018-12-06,0.77,0.8264,0.7101,73180,
2018-12-07,0.7065,0.8,0.67,28438,
2018-12-10,0.72,0.75,0.6817,56536,
2018-12-11,0.6890000000000001,0.7363,0.68,119617,41.20982123420905
2018-12-12,0.69,0.7,0.68,74553,37.25700032403272
2018-12-13,0.67,0.7,0.64,64550,33.30464193868384
2018-12-14,0.6901,0.73,0.65,77317,39.25036387136871
2018-12-17,0.67,0.6987,0.6184,50285,36.557540814052565
2018-12-18,0.6495,0.7,0.6284,141244,30.848830797930265
2018-12-19,0.63,0.65,0.61,45611,19.83829045113386
2018-12-20,0.5959,0.63,0.495,55417,20.077390256061044
2018-12-21,0.5971,0.6,0.542,48617,25.393626227406486
2018-12-24,0.6399,0.7502,0.521,169369,25.778838565458816
2018-12-26,0.68,0.7,0.56,169899,37.598118467195214
2018-12-27,0.69,0.69,0.62,85090,41.02918526976163
2018-12-28,0.6867,0.7,0.6,86148,41.004894357176205
2018-12-31,0.7333,0.8,0.64,216198,46.14604684852264
2019-01-02,0.7813,0.795,0.702188,50355,57.165051302204475
2019-01-03,0.77,0.785,0.6654,43779,60.10168323580443
2019-01-04,0.7901,0.8205,0.72,70934,65.13822289960977
2019-01-07,0.825,0.828,0.79,62706,65.60669802107167
2019-01-08,0.8091,0.828,0.77,39208,65.77723283520349
2019-01-09,0.8324,0.86,0.7929,106871,69.49760337107587
2019-01-10,0.8298,0.8324,0.7824,28218,69.86245472695904
2019-01-11,0.8099,0.85,0.705,44445,70.3245642214072
2019-01-14,0.8,0.8113,0.7116,57297,66.41351350148419
2019-01-15,0.88,0.95,0.77,173327,67.0259887533227
2019-01-16,0.9001,0.92,0.861,91533,68.52709351468692
2019-01-17,0.8685,0.9,0.8202,48407,58.47457401763773
2019-01-18,0.87,0.91,0.8326,71518,64.17186330901035
2019-01-22,0.87,0.89,0.81,33960,57.39891720280378
2019-01-23,0.8574,0.89,0.8131,10291,46.485246697322474
2019-01-24,0.8708,0.88,0.86,22656,49.54390688308858
2019-01-25,0.8448,0.88,0.8361,23039,45.92766643811469
2019-01-28,0.88,0.88,0.8,51930,40.27382362502656
2019-01-29,0.8618,0.92,0.85,133461,47.189944890546315
2019-01-30,0.86,0.8799,0.8301,62318,37.80401782185802
2019-01-31,0.87,0.903,0.83,51047,46.93106677834213
