Date,Close,High,Low,Volume,MFI
21:20,45.1,45.155,45.099,4114,
21:21,45.07,45.12,45.0,19098,
21:22,44.93,45.1,44.93,7498,
21:23,45.02,45.02,44.95,3784,
21:24,45.13,45.16,45.08,3232,
21:25,45.125,45.2,45.12,2244,
21:26,45.1,45.12,45.035,5260,
21:27,44.99,45.09,44.99,12200,
21:28,44.9,45.0,44.85,9568,
21:29,44.91,44.91,44.86,3058,
21:30,44.88,44.94,44.87,5422,
21:31,44.881,44.94,44.88,1984,
21:32,44.86,44.895,44.8,12910,
21:33,44.9,44.92,44.82,10124,
21:34,44.898999999999994,44.96,44.86,6126,45.73822291324476
21:35,44.87,44.97,44.865,5174,44.85040581989051
21:36,44.83,44.895,44.8,3758,51.927933103444865
21:37,44.93,44.96,44.83,4384,49.799720024879235
21:38,44.905,44.93,44.89,2270,50.14756584489932
21:39,44.89,44.945,44.881,3046,46.88509258500926
21:40,44.9,44.9,44.86,2330,46.45100403316873
21:41,45.145,45.16,44.888999999999996,15436,50.94386319269635
21:42,45.37,45.44,45.14,20596,67.09783968825644
21:43,45.28,45.38,45.27,7860,59.327140491279415
21:44,45.24,45.32,45.221000000000004,4248,53.47831643197538
21:45,45.23,45.3,45.201,10052,48.693768456777356
21:46,45.14,45.3,45.13,4240,45.0459032642745
21:47,45.091,45.18899999999999,45.09,16626,36.04517482676036
21:48,45.13,45.14,45.06,8182,24.333357078370703
21:49,45.1,45.181000000000004,45.09,3022,31.42205809442558
21:50,45.115,45.15,45.045,7102,32.051778660869715
21:51,45.12,45.16,45.12,1014,34.13989148309989
21:52,45.05,45.15,45.05,2142,31.106091720027536
21:53,44.93,45.005,44.875,25848,31.14103422860113
21:54,44.93899999999999,44.95,44.9,7902,25.646816929698378
21:55,44.995,44.995,44.95,4492,28.72037915733891
21:56,44.87,44.945,44.85,9032,18.767894860738146
21:57,44.89,44.94,44.85,8970,28.783624622601927
21:58,44.97,44.99,44.9,6564,36.44124868871243
21:59,45.05,45.07,44.94,5014,41.408136345208604
22:00,45.03,45.11,44.975,5546,47.87472409601425
22:01,45.129,45.18,45.0,4436,52.29948465673061
22:02,45.085,45.14,45.08,3978,58.74270152840842
22:03,45.08,45.15,45.02,7692,52.71651750542414
22:04,45.05,45.1,45.04,3118,50.243969153248834
22:05,44.94,45.1,44.91,17542,44.90365553368807
22:06,44.951,45.03,44.91,8244,38.29377427976522
22:07,45.049,45.121,44.885,13706,43.2847362713707
22:08,45.08,45.089,45.049,2386,61.12613681742369
22:09,45.06,45.06,45.01,16680,56.63015593397503
22:10,45.03,45.115,45.01,5956,65.29489284319739
22:11,44.99,45.03,44.96,4186,58.90520159370307
22:12,45.005,45.04,44.98,3406,57.04277643780048
22:13,45.0,45.04,44.995,5440,55.71531986711978
22:14,45.005,45.075,45.0,5690,55.899234797229354
22:15,44.895,44.97,44.895,40958,50.40726534678759
22:16,44.88,44.895,44.82,7400,37.18920532262964
22:17,45.0,45.0,44.885,5280,41.486160122442016
22:18,45.09,45.09,44.93,4574,45.97721609133918
22:19,45.005,45.05,45.005,2452,45.50392267860203
22:20,44.93,44.995,44.88,8126,50.938148894239774
22:21,44.87,44.93,44.87,9792,44.459110125909405
22:22,44.875,44.93,44.855,12634,34.675418560884616
22:23,44.84,44.875,44.815,16054,32.00161855476259
22:24,44.93,44.93,44.82,9288,31.641369744326138
22:25,44.94,44.98,44.92,3426,37.728853103886514
22:26,44.879,44.915,44.85,6352,34.82648037524026
22:27,44.805,44.89,44.805,25472,31.600352834941532
22:28,44.71,44.79,44.68,39850,24.12874933101224
22:29,44.68,44.72,44.68,1482,19.84573191433457
